Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.06%,68,"$26,771,136",5.08%,-16.85%
Education,69.39%,49,"$84,041,612",5.79%,-25.49%
Environment and animals,65.38%,26,"$17,518,149",-0.21%,-27.88%
Health,68.00%,75,"$165,008,041",4.43%,-18.60%
Hospitals,41.94%,31,"$60,984,967",6.08%,0.63%
Human services,71.30%,216,"$263,492,605",3.75%,-22.68%
"International, foreign affairs",100.00%,2,"$1,526,651",-9.22%,-41.37%
"Public, societal benefit",70.97%,62,"$137,392,826",10.63%,-15.66%
Religion-related,33.33%,6,"$2,169,554",20.18%,6.62%
Unclassified,75.30%,166,"$183,129,100",3.67%,-19.81%
Universities,46.15%,13,"$46,019,743",7.11%,1.31%
Total,69.61%,714,"$988,054,384",4.43%,-17.62%
