Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.78%,239,"$93,407,512",2.99%,-10.94%
Education,69.42%,206,"$231,143,791",3.68%,-10.17%
Environment and animals,65.22%,92,"$69,425,729",4.07%,-8.35%
Health,79.67%,241,"$262,495,907",3.89%,-24.18%
Hospitals,70.00%,20,"$109,202,064",1.48%,-2.10%
Human services,78.80%,750,"$672,292,557",4.90%,-29.99%
"International, foreign affairs",88.37%,43,"$862,566,420",0.29%,-27.97%
"Public, societal benefit",84.58%,214,"$1,018,862,698",2.15%,-38.00%
Religion-related,73.68%,38,"$59,464,875",6.19%,-17.07%
Unclassified,75.28%,534,"$1,406,949,859",4.78%,-21.66%
Universities,56.67%,30,"$264,086,657",1.75%,-2.31%
Total,75.95%,"2,407","$5,049,898,069",3.87%,-22.61%
