Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Virginia,75.95%,"2,407","$5,049,898,069",3.87%,-22.61%
Accomack County,89.47%,19,"$12,670,280",9.15%,-51.51%
Albemarle County,71.43%,35,"$18,293,680",4.46%,-24.94%
Alexandria city,75.53%,94,"$275,252,100",3.50%,-17.23%
Alleghany County,83.33%,12,"$2,311,714",14.20%,-54.73%
Amelia County,100.00%,2,"$1,225,434",26.38%,-44.03%
Amherst County,66.67%,6,"$6,594,417",7.76%,-24.71%
Appomattox County,83.33%,6,"$813,390",4.71%,-42.44%
Arlington County,73.91%,138,"$1,672,662,039",1.69%,-18.98%
Augusta County,75.00%,24,"$18,101,309",5.94%,-25.39%
Bath County,50.00%,4,"$1,129,957",4.64%,-40.17%
Bedford County,76.19%,21,"$19,430,472",-0.97%,-18.97%
Bland County,100.00%,3,"$3,948,231",6.86%,-31.64%
Botetourt County,66.67%,3,"$149,937",-0.02%,-28.47%
Bristol city,77.78%,9,"$2,902,493",10.86%,-16.68%
Brunswick County,75.00%,8,"$2,175,545",14.32%,-35.66%
Buchanan County,60.00%,10,"$1,307,497",17.15%,-5.01%
Buckingham County,80.00%,5,"$15,333,892",10.07%,-15.05%
Buena Vista city,75.00%,4,"$1,461,437",5.33%,-51.54%
Campbell County,80.00%,10,"$2,431,952",8.78%,-13.18%
Caroline County,50.00%,2,"$365,634",23.60%,4.25%
Carroll County,80.00%,5,"$4,546,873",-4.58%,-14.52%
Charles City County,100.00%,1,"$1,458",-173.67%,-177.09%
Charlotte County,100.00%,6,"$525,751",0.00%,-31.40%
Charlottesville city,72.58%,62,"$41,885,829",2.17%,-24.55%
Chesapeake city,93.33%,15,"$17,583,243",1.29%,-15.12%
Chesterfield County,86.11%,36,"$14,266,636",1.20%,-17.21%
Clarke County,50.00%,8,"$1,105,526",10.80%,-3.79%
Colonial Heights city,66.67%,3,"$836,747",12.61%,-53.65%
Covington city,100.00%,1,"$378,610",-9.92%,-102.36%
Craig County,0.00%,1,"$22,300",22.56%,20.32%
Culpeper County,76.19%,21,"$7,704,249",4.31%,-50.69%
Cumberland County,100.00%,1,"$137,683",10.12%,-89.88%
Danville city,91.30%,23,"$36,662,242",4.14%,-35.93%
Dickenson County,100.00%,2,"$197,508",6.13%,-31.12%
Dinwiddie County,100.00%,2,"$402,700",48.23%,-1.39%
Emporia city,100.00%,4,"$5,566,932",-2.96%,-62.68%
Essex County,57.14%,7,"$4,661,609",4.75%,-4.79%
Fairfax County,72.48%,258,"$1,115,389,717",3.27%,-14.15%
Fairfax city,76.92%,26,"$54,274,306",4.77%,-36.15%
Falls Church city,72.73%,11,"$4,147,874",1.72%,-25.97%
Fauquier County,58.82%,34,"$19,152,004",13.71%,-10.59%
Floyd County,75.00%,4,"$337,033",-20.23%,-51.17%
Fluvanna County,100.00%,4,"$1,417,175",1.81%,-29.45%
Franklin County,100.00%,12,"$7,017,105",-3.58%,-40.65%
Franklin city,100.00%,4,"$12,303,166",-16.11%,-75.70%
Frederick County,57.14%,7,"$1,107,524",12.52%,-5.68%
Fredericksburg city,92.00%,25,"$12,048,614",-0.37%,-44.82%
Galax city,100.00%,5,"$4,682,119",10.43%,-28.14%
Giles County,50.00%,2,"$150,906",6.26%,-2.29%
Gloucester County,77.78%,9,"$4,648,491",1.09%,-24.67%
Goochland County,87.50%,8,"$2,159,494",2.51%,-18.45%
Grayson County,50.00%,6,"$266,663",7.17%,6.07%
Greene County,83.33%,6,"$3,089,497",17.43%,-23.53%
Greensville County,83.33%,6,"$581,624",-16.06%,-36.62%
Halifax County,87.50%,16,"$10,282,148",19.03%,-41.73%
Hampton city,82.35%,17,"$56,041,448",3.12%,-17.94%
Hanover County,61.11%,18,"$12,684,242",8.69%,-13.70%
Harrisonburg city,64.86%,37,"$20,693,161",5.27%,-28.15%
Henrico County,77.78%,90,"$227,664,847",4.89%,-19.40%
Henry County,77.78%,9,"$1,235,734",5.23%,-8.47%
Highland County,80.00%,5,"$2,166,907",27.79%,-5.31%
