Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Florida,79.51%,"3,744","$15,005,774,515",2.55%,-29.92%
Alachua County,81.08%,111,"$263,885,783",2.50%,-32.72%
Baker County,60.00%,5,"$3,726,525",1.28%,-7.59%
Bay County,89.66%,29,"$88,870,272",1.80%,-60.01%
Bradford County,100.00%,5,"$979,614",19.68%,-14.11%
Brevard County,80.41%,97,"$305,850,275",3.38%,-29.06%
Broward County,82.94%,252,"$1,415,194,698",1.22%,-36.42%
Calhoun County,100.00%,2,"$2,187,666",3.75%,-19.30%
Charlotte County,75.00%,24,"$37,618,002",8.11%,-30.11%
Citrus County,81.25%,16,"$53,202,451",2.43%,-74.70%
Clay County,76.92%,26,"$50,537,503",2.49%,-23.55%
Collier County,58.18%,55,"$176,497,746",6.59%,-10.36%
Columbia County,84.62%,13,"$37,216,538",1.74%,-28.68%
DeSoto County,100.00%,2,"$2,519,688",-39.32%,-66.71%
Dixie County,100.00%,2,"$1,586,618",-0.63%,-84.94%
Duval County,82.86%,210,"$963,666,717",1.16%,-26.77%
Escambia County,89.66%,58,"$310,289,531",2.69%,-26.89%
Flagler County,76.47%,17,"$14,254,677",0.96%,-43.51%
Franklin County,71.43%,7,"$941,078",7.01%,-3.50%
Gadsden County,90.91%,11,"$8,754,735",2.82%,-69.48%
Gilchrist County,0.00%,1,"$400,047",4.96%,0.96%
Gulf County,100.00%,4,"$6,488,184",-8.64%,-70.73%
Hamilton County,100.00%,1,"$72,106",7.01%,-18.11%
Hardee County,57.14%,7,"$1,370,038",18.50%,-18.47%
Hendry County,100.00%,5,"$403,626",-6.21%,-26.92%
Hernando County,70.00%,20,"$52,385,810",2.73%,-28.12%
Highlands County,84.21%,19,"$10,662,514",4.95%,-31.45%
Hillsborough County,79.84%,248,"$1,638,820,064",1.82%,-30.86%
Holmes County,100.00%,3,"$8,985,958",-5.76%,-6.86%
Indian River County,84.09%,44,"$60,941,578",0.03%,-26.50%
Jackson County,100.00%,8,"$47,369,224",-1.87%,-91.31%
Jefferson County,100.00%,4,"$1,566,354",-10.17%,-84.20%
Lake County,72.09%,43,"$110,376,927",3.48%,-16.09%
Lee County,66.99%,103,"$263,590,412",7.28%,-15.39%
Leon County,87.73%,163,"$1,070,816,819",0.55%,-58.61%
Levy County,85.71%,7,"$2,757,829",-0.91%,-40.09%
Liberty County,100.00%,1,"$502,705",-3.48%,-81.24%
Madison County,87.50%,8,"$6,948,445",-1.66%,-23.94%
Manatee County,79.37%,63,"$138,740,813",2.48%,-19.90%
Marion County,82.22%,45,"$77,924,123",4.54%,-35.44%
Martin County,65.85%,41,"$76,956,298",9.49%,-7.10%
Miami-Dade County,84.27%,496,"$2,992,131,771",3.10%,-43.03%
Monroe County,86.57%,67,"$57,924,555",2.59%,-26.91%
Nassau County,56.25%,16,"$14,010,853",2.18%,-10.38%
Okaloosa County,85.00%,40,"$144,418,280",2.60%,-20.75%
Okeechobee County,42.86%,7,"$2,690,063",15.71%,6.14%
Orange County,70.73%,246,"$1,085,965,379",5.29%,-18.65%
Osceola County,82.86%,35,"$165,742,295",3.71%,-51.80%
Palm Beach County,74.28%,276,"$836,625,560",3.09%,-23.23%
Pasco County,91.84%,49,"$156,793,099",-1.52%,-58.77%
Pinellas County,78.02%,232,"$807,349,852",0.88%,-31.59%
Polk County,77.45%,102,"$320,596,392",3.31%,-15.43%
Putnam County,75.00%,12,"$20,062,105",15.41%,-57.84%
Santa Rosa County,100.00%,8,"$20,360,487",1.18%,-91.21%
Sarasota County,73.64%,110,"$195,841,089",2.34%,-24.74%
Seminole County,77.97%,59,"$122,675,779",0.51%,-23.10%
St. Johns County,65.85%,41,"$117,133,123",6.68%,-5.96%
St. Lucie County,88.64%,44,"$155,444,061",1.84%,-56.61%
Sumter County,80.00%,5,"$93,581,918",0.88%,-35.19%
Suwannee County,85.71%,7,"$10,990,011",11.66%,-66.25%
Taylor County,100.00%,3,"$5,245,559",-4.23%,-94.80%
Volusia County,81.61%,87,"$342,132,408",1.77%,-31.67%
Wakulla County,80.00%,5,"$2,055,222",5.11%,-17.17%
Walton County,85.71%,14,"$19,041,287",2.84%,-23.79%
Washington County,66.67%,3,"$1,103,376",-7.21%,-71.73%
