Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.09%,47,"$24,280,773",2.86%,-8.68%
Education,78.21%,78,"$33,776,777",2.07%,-24.39%
Environment and animals,69.05%,42,"$18,093,138",3.45%,-12.10%
Health,84.06%,69,"$97,601,661",4.54%,-25.26%
Hospitals,66.67%,6,"$10,549,920",-0.19%,-2.29%
Human services,79.80%,203,"$150,057,272",2.47%,-23.41%
"International, foreign affairs",50.00%,4,"$4,329,411",4.58%,-40.50%
"Public, societal benefit",72.00%,50,"$68,169,219",6.36%,-33.60%
Religion-related,100.00%,1,"$716,446",1.64%,-70.06%
Unclassified,79.90%,194,"$222,122,441",3.21%,-18.86%
Universities,57.14%,7,"$29,641,024",-1.05%,-2.45%
Total,77.60%,701,"$659,338,082",2.75%,-19.59%
