Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Kansas,79.45%,876,"$974,691,158",1.59%,-21.02%
Allen County,87.50%,8,"$12,795,606",3.06%,-40.21%
Anderson County,100.00%,1,"$602,709",-9.56%,-11.47%
Atchison County,50.00%,8,"$6,315,092",9.80%,-2.31%
Barber County,0.00%,1,"$12,000",24.12%,21.94%
Barton County,77.78%,18,"$10,789,583",5.49%,-21.29%
Bourbon County,50.00%,4,"$430,203",25.38%,9.98%
Brown County,75.00%,8,"$14,162,910",5.81%,-27.26%
Butler County,92.31%,13,"$9,921,424",2.12%,-40.99%
Chase County,100.00%,1,"$527,714",29.73%,-20.02%
Chautauqua County,0.00%,3,"$15,115",24.36%,7.54%
Cherokee County,85.71%,7,"$4,239,731",4.85%,-17.46%
Cheyenne County,50.00%,2,"$1,138,969",1.24%,-2.49%
Clay County,66.67%,3,"$3,532,765",3.35%,-90.84%
Cloud County,83.33%,6,"$307,611",-5.05%,-10.71%
Coffey County,100.00%,2,"$2,712,546",11.68%,-85.60%
Comanche County,100.00%,3,"$231,583",-5.90%,-8.21%
Cowley County,85.71%,14,"$13,072,426",0.47%,-16.83%
Crawford County,100.00%,12,"$41,079,144",2.03%,-27.79%
Decatur County,100.00%,2,"$598,126",-45.54%,-107.23%
Dickinson County,85.71%,7,"$1,508,025",6.33%,-8.73%
Doniphan County,0.00%,1,"$29,315",32.78%,28.77%
Douglas County,82.22%,45,"$109,852,143",5.58%,-36.35%
Elk County,100.00%,1,"$125,064",-16.85%,-103.68%
Ellis County,77.78%,18,"$24,718,513",4.90%,-19.86%
Ellsworth County,100.00%,2,"$311,257",4.01%,-13.23%
Finney County,100.00%,14,"$12,614,360",-0.98%,-32.26%
Ford County,83.33%,12,"$5,863,818",2.73%,-9.55%
Franklin County,70.00%,10,"$21,170,923",3.08%,-31.04%
Geary County,60.00%,10,"$6,953,600",5.14%,-17.51%
Graham County,100.00%,2,"$573,890",0.56%,-52.56%
Gray County,100.00%,2,"$318,599",-3.05%,-29.41%
Greeley County,100.00%,1,"$1,843,036",-3.77%,-16.44%
Greenwood County,100.00%,1,"$7,343",-28.22%,-51.84%
Harper County,100.00%,2,"$544,809",4.32%,-34.53%
Harvey County,85.00%,20,"$24,768,193",5.49%,-8.21%
Haskell County,100.00%,2,"$172,255",-7.82%,-89.14%
Jackson County,100.00%,6,"$1,149,227",-13.01%,-69.14%
Jefferson County,66.67%,3,"$276,619",0.59%,-15.86%
Johnson County,74.70%,83,"$74,569,253",0.62%,-12.32%
Kingman County,50.00%,4,"$2,042,710",16.59%,0.53%
Kiowa County,83.33%,6,"$464,486",-17.03%,-45.21%
Labette County,57.14%,7,"$6,886,566",-2.55%,-7.99%
Leavenworth County,92.31%,13,"$7,961,878",-1.44%,-40.21%
Lincoln County,50.00%,2,"$267,492",48.74%,-20.93%
Logan County,100.00%,2,"$383,198",-3.09%,-31.09%
Lyon County,77.78%,18,"$46,478,336",1.40%,-51.58%
Marion County,25.00%,4,"$877,071",12.64%,10.14%
Marshall County,60.00%,5,"$1,048,573",3.10%,-16.29%
McPherson County,69.57%,23,"$13,660,017",1.67%,-18.57%
Miami County,60.00%,5,"$3,579,706",3.98%,-9.38%
Mitchell County,0.00%,2,"$24,151",32.43%,29.40%
Montgomery County,100.00%,9,"$4,983,992",-5.06%,-28.03%
Morris County,100.00%,1,"$34,465",35.75%,-2.76%
Morton County,100.00%,1,"$101,548",-20.02%,-108.89%
Nemaha County,83.33%,6,"$4,454,029",0.09%,-31.28%
Neosho County,85.71%,7,"$11,741,958",1.68%,-49.85%
Norton County,50.00%,2,"$31,023",47.11%,45.99%
Osage County,100.00%,1,"$878,267",15.36%,-11.90%
Ottawa County,100.00%,2,"$5,215,681",7.20%,-52.04%
Pawnee County,33.33%,3,"$366,460",10.85%,6.32%
Phillips County,100.00%,2,"$693,670",-10.46%,-30.31%
Pottawatomie County,75.00%,8,"$4,459,736",-0.99%,-9.26%
Pratt County,100.00%,5,"$298,013",-5.77%,-12.08%
Rawlins County,100.00%,1,"$139,203",-16.63%,-27.23%
Reno County,90.48%,21,"$20,975,125",0.02%,-29.17%
Republic County,50.00%,4,"$2,620,410",71.78%,31.00%
Rice County,80.00%,5,"$3,342,220",-2.67%,-10.88%
Riley County,79.41%,34,"$34,997,807",2.08%,-38.12%
Rooks County,100.00%,1,"$333,375",-1.75%,-10.68%
Rush County,100.00%,1,"$29,208",-13.97%,-14.84%
Russell County,75.00%,4,"$501,841",-1.29%,-8.31%
Saline County,77.27%,22,"$38,380,660",0.18%,-17.82%
Scott County,80.00%,5,"$2,059,518",-4.60%,-50.34%
Sedgwick County,82.03%,128,"$160,726,684",0.07%,-24.47%
Seward County,100.00%,7,"$3,150,343",-11.65%,-53.96%
Shawnee County,78.08%,73,"$123,229,675",3.45%,-38.40%
Sheridan County,100.00%,1,"$51,282",17.29%,-73.54%
Sherman County,80.00%,5,"$524,647",15.47%,-25.33%
Smith County,100.00%,2,"$876,060",-10.07%,-13.44%
Stafford County,50.00%,2,"$515,392",24.56%,1.44%
Stevens County,50.00%,4,"$312,978",19.54%,-3.77%
Sumner County,100.00%,2,"$1,970,336",-3.12%,-56.40%
Thomas County,66.67%,3,"$1,375,762",2.77%,-41.86%
Trego County,0.00%,1,"$16,500",48.79%,31.99%
Wallace County,50.00%,2,"$697,947",7.04%,-11.83%
Washington County,100.00%,4,"$3,236,911",-1.19%,-33.88%
Wichita County,50.00%,2,"$395,679",16.29%,-16.39%
Wilson County,100.00%,3,"$936,232",-2.32%,-43.35%
Wyandotte County,83.72%,43,"$46,506,838",5.43%,-25.93%
