Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Alabama,81.13%,"1,134","$2,354,776,663",4.29%,-36.44%
Autauga County,70.59%,17,"$7,461,966",10.34%,-33.32%
Baldwin County,76.60%,47,"$30,501,558",9.64%,-25.15%
Barbour County,83.33%,6,"$479,769",1.26%,-42.32%
Bibb County,100.00%,4,"$16,337,085",-1.27%,-25.50%
Blount County,90.00%,10,"$2,065,380",1.60%,-51.25%
Bullock County,100.00%,2,"$218,052",40.79%,-8.78%
Butler County,100.00%,5,"$2,153,216",7.98%,-75.04%
Calhoun County,88.24%,34,"$52,425,960",6.48%,-55.56%
Chambers County,66.67%,6,"$1,872,343",-22.89%,-57.51%
Cherokee County,75.00%,4,"$513,684",28.95%,-46.95%
Chilton County,81.82%,11,"$5,885,021",7.69%,-28.05%
Choctaw County,66.67%,3,"$234,937",27.66%,-16.45%
Clarke County,83.33%,6,"$2,860,875",6.60%,-56.77%
Clay County,100.00%,2,"$500,344",41.31%,-13.09%
Cleburne County,66.67%,3,"$954,103",21.68%,-35.82%
Coffee County,75.00%,8,"$7,517,464",0.48%,-11.79%
Colbert County,88.89%,9,"$3,072,534",7.14%,-30.14%
Coosa County,100.00%,1,"$12,279",-1.57%,-18.41%
Covington County,50.00%,6,"$8,422,919",17.99%,-2.15%
Crenshaw County,0.00%,1,"$10,000",3.58%,2.12%
Cullman County,80.00%,10,"$3,443,894",1.72%,-26.64%
Dale County,60.00%,5,"$625,455",7.50%,-9.19%
Dallas County,77.27%,22,"$15,254,119",10.76%,-42.16%
DeKalb County,80.00%,10,"$21,150,038",-2.52%,-36.44%
Elmore County,76.92%,13,"$3,873,814",8.47%,-16.79%
Escambia County,66.67%,6,"$3,003,131",15.95%,-11.93%
Etowah County,83.33%,30,"$39,713,792",1.25%,-53.48%
Fayette County,100.00%,3,"$571,906",6.09%,-43.44%
Franklin County,100.00%,1,"$2,916,207",-0.68%,-9.43%
Geneva County,100.00%,1,"$326,000",7.39%,-87.20%
Greene County,100.00%,1,"$20,000",-11.69%,-21.05%
Henry County,100.00%,3,"$1,948,714",12.24%,-81.78%
Houston County,81.25%,32,"$12,799,241",2.91%,-19.36%
Jackson County,71.43%,7,"$5,295,956",25.19%,-27.48%
Jefferson County,84.51%,226,"$1,139,054,118",2.75%,-37.99%
Lamar County,100.00%,1,"$154,757",-10.52%,-92.33%
Lauderdale County,91.30%,23,"$10,340,121",-2.51%,-37.99%
Lawrence County,0.00%,2,"$37,398",20.58%,2.61%
Lee County,70.83%,24,"$34,322,243",18.20%,-51.28%
Limestone County,92.86%,14,"$1,997,673",2.08%,-58.09%
Macon County,80.00%,5,"$76,020,820",8.40%,-66.23%
Madison County,74.71%,87,"$114,754,959",4.12%,-25.22%
Marengo County,100.00%,2,"$3,872,514",13.09%,-66.01%
Marion County,100.00%,4,"$2,949,567",8.61%,-38.71%
Marshall County,88.24%,17,"$2,593,234",2.78%,-24.02%
Mobile County,73.53%,102,"$148,939,529",8.31%,-23.29%
Monroe County,100.00%,5,"$1,010,072",0.95%,-52.77%
Montgomery County,81.48%,108,"$311,475,355",4.12%,-37.72%
Morgan County,84.00%,25,"$49,166,575",2.29%,-35.26%
Perry County,100.00%,3,"$4,125,569",6.07%,-75.67%
Pickens County,100.00%,3,"$5,147,458",-1.63%,-92.10%
Pike County,70.00%,10,"$17,617,990",5.37%,-25.23%
Randolph County,33.33%,3,"$66,947",27.52%,21.44%
Russell County,100.00%,6,"$1,853,350",-1.69%,-70.74%
Shelby County,86.21%,29,"$29,892,979",2.77%,-25.89%
St. Clair County,90.00%,10,"$1,246,749",0.72%,-58.62%
Sumter County,50.00%,4,"$1,928,660",-1.62%,-21.63%
Talladega County,90.91%,11,"$37,450,593",1.11%,-89.85%
Tallapoosa County,77.78%,9,"$10,901,635",-0.61%,-26.06%
Tuscaloosa County,84.00%,50,"$75,992,988",2.88%,-38.78%
Walker County,100.00%,14,"$13,636,040",2.21%,-53.22%
Washington County,100.00%,1,"$1,295,720",-3.75%,-89.21%
Wilcox County,66.67%,6,"$1,038,185",29.88%,-18.32%
Winston County,100.00%,1,"$1,451,109",5.64%,0.00%
