Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
North Carolina,78.45%,"3,164","$7,590,432,244",5.53%,-30.44%
10th Congressional district,81.17%,239,"$527,492,259",0.73%,-30.93%
11th Congressional district,73.70%,403,"$364,405,855",6.65%,-18.91%
12th Congressional district,83.04%,171,"$448,889,702",0.94%,-25.90%
13th Congressional district,80.15%,131,"$148,348,947",7.80%,-30.87%
14th Congressional district,72.28%,202,"$389,703,161",7.66%,-27.97%
1st Congressional district,82.43%,239,"$338,138,802",5.01%,-44.02%
2nd Congressional district,81.96%,327,"$1,792,190,671",3.99%,-32.76%
3rd Congressional district,80.24%,253,"$191,689,221",7.63%,-41.33%
4th Congressional district,75.22%,230,"$2,152,248,647",4.33%,-25.74%
5th Congressional district,79.36%,281,"$376,589,583",6.13%,-32.45%
6th Congressional district,74.71%,170,"$155,644,737",6.72%,-30.70%
7th Congressional district,80.65%,186,"$204,520,430",7.77%,-27.22%
8th Congressional district,78.49%,172,"$258,000,115",10.54%,-37.13%
9th Congressional district,76.25%,160,"$242,570,114",4.26%,-38.00%
