Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.09%,193,"$17,172,906",1.52%,-22.93%
$10M or more,65.96%,94,"$760,727,420",1.80%,-4.28%
$1M to $4.9M,73.68%,171,"$117,096,666",3.80%,-14.05%
$500K to $999K,82.98%,94,"$28,361,327",0.86%,-36.75%
$5M to $9.9M,58.62%,29,"$42,786,170",4.22%,-1.24%
Less than $100K,52.63%,19,"$523,471",18.29%,-6.72%
Total,72.67%,600,"$966,667,960",2.07%,-15.61%
