Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.86%,879,"$118,283,787",3.44%,-32.25%
$10M or more,75.98%,587,"$12,403,569,661",2.15%,-23.10%
$1M to $4.9M,80.56%,"1,219","$1,265,967,408",2.59%,-28.12%
$500K to $999K,80.40%,607,"$192,534,143",2.43%,-32.24%
$5M to $9.9M,83.54%,322,"$1,018,199,535",1.13%,-37.98%
Less than $100K,69.23%,130,"$7,219,981",18.75%,-31.71%
Total,79.51%,"3,744","$15,005,774,515",2.55%,-29.92%
