Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Wyoming,82.14%,336,"$284,746,741",3.04%,-36.51%
Albany County,89.66%,29,"$22,116,560",0.85%,-35.23%
Big Horn County,80.00%,5,"$1,236,856",1.34%,-80.24%
Campbell County,78.57%,14,"$12,197,163",2.93%,-31.71%
Carbon County,77.78%,9,"$2,831,228",0.86%,-75.35%
Converse County,100.00%,9,"$4,547,863",-7.47%,-89.95%
Crook County,100.00%,4,"$1,376,822",6.13%,-60.52%
Fremont County,80.77%,26,"$13,781,922",3.36%,-28.82%
Goshen County,66.67%,6,"$1,753,422",2.57%,-4.44%
Hot Springs County,66.67%,3,"$1,381,363",-0.18%,-9.54%
Johnson County,72.73%,11,"$1,302,475",2.23%,-13.82%
Laramie County,80.00%,50,"$41,495,390",1.53%,-37.22%
Lincoln County,100.00%,10,"$8,343,409",9.82%,-56.75%
Natrona County,87.10%,31,"$31,164,972",3.32%,-31.37%
Niobrara County,100.00%,1,"$409,205",17.15%,-46.13%
Park County,80.95%,21,"$11,531,845",10.27%,-39.19%
Platte County,100.00%,4,"$16,062,206",-3.70%,-93.44%
Sheridan County,80.00%,25,"$47,306,740",-1.40%,-34.55%
Sublette County,100.00%,8,"$2,118,037",5.22%,-43.61%
Sweetwater County,93.33%,15,"$11,422,864",7.38%,-69.39%
Teton County,60.53%,38,"$26,274,837",5.35%,-8.67%
Uinta County,100.00%,6,"$11,315,542",-3.51%,-87.33%
Washakie County,100.00%,9,"$14,350,814",6.55%,-60.58%
Weston County,50.00%,2,"$425,206",5.92%,-25.41%
