Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.93%,249,"$34,074,567",0.81%,-50.25%
$10M or more,78.01%,141,"$972,586,088",1.83%,-11.96%
$1M to $4.9M,81.73%,208,"$216,287,134",4.23%,-27.60%
$500K to $999K,79.72%,143,"$41,922,507",5.18%,-25.05%
$5M to $9.9M,78.72%,47,"$129,521,271",5.31%,-16.89%
Less than $100K,68.52%,54,"$4,092,989",19.64%,-37.86%
Total,79.81%,842,"$1,398,484,556",3.71%,-31.82%
