Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",59.79%,97,"$12,011,684",3.57%,-3.90%
Education,64.38%,73,"$40,919,474",7.13%,-11.29%
Environment and animals,77.78%,36,"$9,705,756",9.22%,-22.62%
Health,83.52%,91,"$100,593,805",-1.06%,-14.91%
Hospitals,55.56%,18,"$23,903,289",3.58%,-1.07%
Human services,72.77%,437,"$237,699,127",6.34%,-13.83%
"International, foreign affairs",66.67%,3,"$296,215",2.40%,-20.04%
Mutual/membership benefit,0.00%,1,"$53,883",19.10%,9.34%
"Public, societal benefit",66.67%,99,"$159,227,901",8.19%,-15.28%
Religion-related,64.71%,17,"$13,119,860",8.44%,-11.03%
Unclassified,79.14%,278,"$437,152,514",0.66%,-14.87%
Universities,66.67%,27,"$65,221,666",0.00%,-5.87%
Total,72.56%,"1,177","$1,099,905,174",4.23%,-13.06%
