Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",80.37%,428,"$356,855,708",1.67%,-23.59%
Education,78.57%,574,"$4,102,636,940",3.70%,-23.74%
Environment and animals,62.24%,143,"$128,252,070",7.49%,-10.25%
Health,82.78%,360,"$1,963,040,191",2.47%,-40.84%
Hospitals,76.00%,25,"$123,173,465",4.59%,-5.89%
Human services,82.37%,"1,140","$3,778,537,823",2.19%,-42.31%
"International, foreign affairs",77.50%,40,"$77,879,739",5.30%,-30.88%
Mutual/membership benefit,33.33%,3,"$95,820",4.19%,2.60%
"Public, societal benefit",74.54%,271,"$544,620,717",3.38%,-26.65%
Religion-related,66.10%,59,"$20,813,050",2.82%,-12.38%
Unclassified,81.98%,666,"$3,073,698,990",2.13%,-32.08%
Universities,51.43%,35,"$836,170,002",3.86%,-0.47%
Total,79.51%,"3,744","$15,005,774,515",2.55%,-29.92%
