Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Wyoming,82.14%,336,"$284,746,741",3.04%,-36.51%
Congressional district (at large),82.14%,336,"$284,746,741",3.04%,-36.51%
