Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,75.97%,412,"$49,338,349",4.07%,-24.97%
$10M or more,80.97%,226,"$3,252,461,381",1.16%,-15.87%
$1M to $4.9M,84.24%,425,"$405,450,210",0.88%,-30.74%
$500K to $999K,80.16%,247,"$57,998,932",0.73%,-25.25%
$5M to $9.9M,90.40%,125,"$386,973,456",0.06%,-43.35%
Less than $100K,53.93%,89,"$21,143,887",32.14%,-2.06%
Total,79.59%,"1,524","$4,173,366,215",1.79%,-25.12%
