Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Nebraska,69.61%,714,"$988,054,384",4.43%,-17.62%
Adams County,55.00%,20,"$22,078,077",11.38%,-11.88%
Antelope County,0.00%,1,"$1,230,002",9.19%,3.48%
Arthur County,0.00%,1,"$12,000",133.78%,174.89%
Boone County,100.00%,1,"$10,000",-19.05%,-22.66%
Box Butte County,80.00%,5,"$1,025,633",4.89%,-66.68%
Boyd County,0.00%,1,"$180,725",6.08%,1.25%
Brown County,50.00%,2,"$196,182",44.06%,-8.04%
Buffalo County,70.83%,24,"$36,487,696",5.66%,-20.43%
Burt County,80.00%,5,"$3,245,146",10.57%,-25.25%
Cass County,100.00%,1,"$225,000",2.31%,-2.95%
Cedar County,100.00%,1,"$79,990",-17.14%,-33.92%
Chase County,0.00%,1,"$9,632",36.51%,30.92%
Cherry County,100.00%,1,"$150,000",1.78%,-97.68%
Cheyenne County,75.00%,4,"$687,300",-4.77%,-39.12%
Clay County,100.00%,1,"$41,528",-8.38%,-9.71%
Colfax County,50.00%,4,"$1,138,957",2.23%,-1.79%
Cuming County,80.00%,5,"$2,888,402",-16.15%,-96.62%
Custer County,66.67%,6,"$1,342,273",4.92%,-7.38%
Dakota County,33.33%,6,"$2,518,578",21.83%,4.49%
Dawes County,100.00%,3,"$7,061,921",3.99%,-88.62%
Dawson County,81.82%,11,"$6,375,088",8.69%,-27.68%
Deuel County,0.00%,1,"$24,880",52.94%,21.74%
Dixon County,0.00%,1,"$75,569",46.32%,33.88%
Dodge County,81.82%,11,"$6,490,137",-4.66%,-36.73%
Douglas County,66.53%,245,"$445,162,021",2.05%,-14.88%
Fillmore County,100.00%,1,"$121,446",-16.16%,-65.07%
Franklin County,100.00%,1,"$27,350",-4.13%,-23.98%
Furnas County,75.00%,4,"$802,698",9.62%,-14.37%
Gage County,66.67%,12,"$8,032,932",2.89%,-16.23%
Garfield County,100.00%,2,"$364,549",1.82%,-45.27%
Greeley County,100.00%,1,"$22,297",-4.70%,-29.84%
Hall County,85.71%,28,"$19,183,804",-1.84%,-33.46%
Hamilton County,60.00%,5,"$1,196,066",5.79%,-0.26%
Harlan County,50.00%,2,"$219,944",22.66%,-26.47%
Hitchcock County,100.00%,1,"$298,126",5.39%,-52.79%
Holt County,66.67%,6,"$5,076,131",6.60%,-16.38%
Jefferson County,66.67%,6,"$15,818,597",6.92%,-4.05%
Johnson County,100.00%,3,"$1,037,292",-0.64%,-82.68%
Kearney County,100.00%,1,"$99,219",-9.85%,-11.08%
Keith County,80.00%,5,"$1,312,923",7.54%,-21.76%
Knox County,100.00%,1,"$70,917",24.88%,-8.32%
Lancaster County,71.68%,113,"$240,219,389",5.38%,-21.07%
Lincoln County,78.95%,19,"$13,588,803",6.17%,-56.08%
Madison County,75.00%,20,"$16,441,385",6.77%,-15.93%
Merrick County,60.00%,5,"$395,579",1.64%,-7.17%
Nance County,100.00%,1,"$248,082",21.97%,-72.41%
Nemaha County,100.00%,2,"$293,846",12.09%,-26.37%
Nuckolls County,66.67%,3,"$1,755,217",10.68%,-14.36%
Otoe County,60.00%,5,"$1,351,723",26.59%,-5.61%
Pawnee County,100.00%,1,"$1,048",-69.77%,-74.15%
Perkins County,100.00%,1,"$481,807",38.16%,-47.06%
Phelps County,50.00%,8,"$3,619,815",2.45%,-2.71%
Pierce County,0.00%,1,"$592,124",9.14%,3.06%
Platte County,62.50%,8,"$7,352,701",4.73%,-23.00%
Polk County,100.00%,1,"$67,559",-7.40%,-8.48%
Red Willow County,83.33%,6,"$4,445,567",3.46%,-18.27%
Richardson County,66.67%,3,"$3,569,345",7.89%,-57.35%
Saline County,60.00%,5,"$10,048,942",18.32%,-42.54%
Sarpy County,66.67%,12,"$41,295,714",7.54%,-12.41%
Saunders County,50.00%,2,"$118,960",52.45%,-18.45%
Scotts Bluff County,82.61%,23,"$22,174,047",2.43%,-17.58%
Seward County,50.00%,6,"$1,149,321",12.85%,5.50%
Sheridan County,100.00%,2,"$493,615",-70.54%,-174.93%
Sherman County,100.00%,3,"$13,153,628",5.02%,-55.28%
Sioux County,100.00%,1,"$2,682",3.08%,-1.30%
Thayer County,100.00%,2,"$1,774,054",2.35%,-11.83%
Thurston County,66.67%,3,"$5,401,202",7.11%,-15.65%
Washington County,66.67%,3,"$1,378,543",-5.88%,-9.24%
Wayne County,100.00%,3,"$1,844,428",0.13%,-17.16%
Webster County,0.00%,1,"$281,000",52.46%,43.52%
York County,40.00%,10,"$2,093,230",10.80%,5.73%
