Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.87%,160,"$23,311,769",4.48%,-37.81%
$10M or more,76.32%,76,"$570,327,590",0.98%,-10.59%
$1M to $4.9M,85.62%,146,"$179,354,064",4.47%,-43.23%
$500K to $999K,87.38%,103,"$44,581,627",2.28%,-57.18%
$5M to $9.9M,78.05%,41,"$178,163,181",5.46%,-58.92%
Less than $100K,81.08%,37,"$1,786,851",9.48%,-56.41%
Total,82.77%,563,"$997,525,082",3.71%,-40.22%
