Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.19%,"1,802","$214,453,297",5.13%,-29.31%
$10M or more,74.25%,862,"$9,853,380,894",1.59%,-10.10%
$1M to $4.9M,80.43%,"1,298","$1,067,471,052",1.77%,-24.79%
$500K to $999K,80.46%,824,"$220,413,286",0.99%,-29.37%
$5M to $9.9M,82.83%,367,"$1,020,927,876",2.13%,-22.41%
Less than $100K,61.92%,365,"$27,214,068",25.75%,-13.46%
Total,78.00%,"5,518","$12,403,860,473",2.89%,-22.38%
