Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Wisconsin,74.04%,"1,876","$3,080,971,573",3.92%,-17.66%
1st Congressional district,79.37%,126,"$123,048,009",3.19%,-19.87%
2nd Congressional district,74.81%,385,"$569,107,946",3.80%,-17.35%
3rd Congressional district,73.73%,217,"$205,227,432",3.60%,-16.39%
4th Congressional district,81.18%,356,"$1,070,829,469",1.72%,-31.15%
5th Congressional district,69.39%,147,"$110,844,832",6.65%,-11.23%
6th Congressional district,70.77%,195,"$546,944,456",3.65%,-13.52%
7th Congressional district,70.76%,236,"$244,526,411",4.38%,-21.89%
8th Congressional district,67.76%,214,"$210,443,018",4.69%,-9.44%
