Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",74.36%,429,"$200,032,835",3.69%,-16.29%
Education,77.83%,460,"$3,997,514,051",4.21%,-23.44%
Environment and animals,59.29%,140,"$351,251,603",7.71%,-11.53%
Health,80.85%,329,"$862,046,052",3.63%,-33.42%
Hospitals,48.21%,56,"$265,978,154",6.10%,0.76%
Human services,79.51%,"1,259","$4,340,796,003",3.88%,-30.93%
"International, foreign affairs",66.67%,36,"$8,792,590",6.05%,-5.83%
Mutual/membership benefit,100.00%,4,"$569,434",21.49%,-7.80%
"Public, societal benefit",77.44%,297,"$2,062,808,143",5.51%,-34.92%
Religion-related,72.50%,120,"$145,636,961",5.88%,-19.11%
Unclassified,78.97%,837,"$3,676,162,283",3.41%,-29.80%
Universities,62.22%,45,"$921,557,791",3.27%,-2.94%
Total,76.97%,"4,012","$16,833,145,900",3.99%,-25.18%
