Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,83.90%,236,"$31,905,808",3.17%,-46.86%
$10M or more,76.04%,96,"$846,274,952",4.40%,-11.16%
$1M to $4.9M,83.55%,231,"$264,331,103",4.35%,-40.61%
$500K to $999K,80.27%,147,"$51,018,590",4.64%,-41.12%
$5M to $9.9M,83.58%,67,"$211,073,608",3.64%,-38.64%
Less than $100K,75.00%,40,"$3,546,471",22.52%,-23.87%
Total,81.76%,817,"$1,408,150,532",4.27%,-37.78%
