Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.69%,144,"$74,207,669",4.99%,-17.54%
Education,76.53%,196,"$627,595,817",7.83%,-26.15%
Environment and animals,58.46%,65,"$158,411,534",9.64%,-8.07%
Health,83.09%,207,"$367,105,888",5.57%,-24.51%
Hospitals,66.67%,24,"$506,155,683",1.99%,-4.09%
Human services,82.63%,639,"$614,911,560",2.90%,-35.73%
"International, foreign affairs",75.00%,8,"$2,139,530",3.48%,-19.85%
Mutual/membership benefit,0.00%,2,"$152,815",55.01%,35.13%
"Public, societal benefit",79.07%,172,"$280,755,376",4.27%,-29.11%
Religion-related,77.50%,40,"$26,205,835",4.47%,-20.92%
Unclassified,78.91%,313,"$814,592,395",4.63%,-31.85%
Universities,57.14%,28,"$366,907,430",5.38%,-1.60%
Total,78.84%,"1,838","$3,839,141,532",4.64%,-26.86%
