Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.00%,40,"$13,660,565",2.12%,-22.66%
Education,81.40%,43,"$29,345,761",0.97%,-34.15%
Environment and animals,53.12%,32,"$7,804,954",10.60%,-3.58%
Health,81.43%,70,"$143,081,132",6.71%,-20.56%
Hospitals,43.75%,16,"$25,155,285",5.18%,1.33%
Human services,85.06%,328,"$207,640,995",5.96%,-46.28%
"Public, societal benefit",82.61%,69,"$169,638,285",5.68%,-49.32%
Religion-related,60.00%,5,"$1,622,451",-0.09%,-0.59%
Unclassified,75.11%,221,"$516,495,879",6.87%,-24.36%
Universities,37.50%,8,"$11,317,683",3.81%,1.92%
Total,78.61%,832,"$1,125,762,990",5.93%,-30.10%
