Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",77.78%,36,"$12,149,634",5.87%,-15.61%
Education,90.16%,61,"$340,883,080",-4.71%,-73.26%
Environment and animals,76.67%,30,"$34,050,734",4.33%,-30.85%
Health,83.33%,60,"$122,406,591",3.55%,-51.21%
Hospitals,60.00%,5,"$10,942,144",0.82%,-1.52%
Human services,77.30%,141,"$386,849,178",3.79%,-31.47%
"International, foreign affairs",0.00%,1,"$307,500",82.71%,79.04%
Mutual/membership benefit,100.00%,2,"$376,750",32.88%,-20.57%
"Public, societal benefit",87.18%,39,"$71,883,985",6.16%,-43.66%
Religion-related,0.00%,1,"$34,721",14.66%,9.00%
Unclassified,80.88%,68,"$182,277,134",3.40%,-41.92%
Universities,75.00%,4,"$6,728,248",3.90%,-34.57%
Total,80.80%,448,"$1,168,889,699",2.67%,-35.76%
