Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",82.61%,46,"$9,784,359",-1.99%,-28.69%
Education,83.64%,55,"$125,170,459",4.65%,-35.49%
Environment and animals,80.65%,31,"$9,846,099",-0.48%,-19.81%
Health,84.48%,58,"$172,972,525",7.81%,-53.42%
Hospitals,91.67%,12,"$20,885,329",-0.11%,-5.97%
Human services,83.89%,149,"$162,343,078",5.14%,-53.03%
"International, foreign affairs",100.00%,2,"$3,467,926",6.76%,-51.24%
"Public, societal benefit",87.72%,57,"$162,754,848",5.67%,-60.35%
Religion-related,66.67%,12,"$5,903,208",3.52%,-17.02%
Unclassified,80.00%,135,"$310,882,565",3.08%,-34.73%
Universities,66.67%,6,"$13,514,686",2.55%,-5.67%
Total,82.77%,563,"$997,525,082",3.71%,-40.22%
