Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
New Mexico,77.47%,697,"$1,037,115,643",4.42%,-29.75%
Bernalillo County,74.29%,245,"$357,107,156",5.25%,-21.69%
Chaves County,100.00%,9,"$8,046,749",2.92%,-70.06%
Cibola County,80.00%,5,"$22,087,114",2.95%,-15.79%
Colfax County,85.71%,7,"$2,231,702",7.55%,-32.74%
Curry County,44.44%,9,"$3,143,771",12.13%,3.08%
De Baca County,100.00%,1,"$2,103,472",-0.33%,-62.70%
Doña Ana County,89.13%,46,"$119,557,224",1.27%,-44.97%
Eddy County,78.95%,19,"$25,319,180",-0.36%,-37.43%
Grant County,87.50%,16,"$12,231,379",2.63%,-75.95%
Guadalupe County,0.00%,2,"$186,383",20.93%,19.27%
Hidalgo County,100.00%,1,"$6,049,404",14.27%,-8.06%
Lea County,75.00%,20,"$11,094,075",8.81%,-40.21%
Lincoln County,85.71%,7,"$1,872,675",6.75%,-50.64%
Los Alamos County,33.33%,9,"$1,617,335",7.26%,1.24%
Luna County,100.00%,10,"$5,131,276",-1.59%,-47.10%
McKinley County,88.89%,18,"$55,372,415",4.23%,-60.61%
Mora County,100.00%,2,"$2,637,004",-0.93%,-41.44%
Otero County,55.56%,18,"$8,668,438",11.64%,-19.22%
Quay County,100.00%,2,"$5,946,695",-10.47%,-66.36%
Rio Arriba County,73.33%,15,"$35,934,247",5.58%,-36.89%
Roosevelt County,100.00%,5,"$11,186,427",6.84%,-44.78%
San Juan County,88.37%,43,"$69,105,674",-0.06%,-77.67%
San Miguel County,50.00%,8,"$2,032,281",16.23%,-16.33%
Sandoval County,75.00%,24,"$11,619,287",8.42%,-22.41%
Santa Fe County,76.61%,124,"$198,887,953",2.97%,-20.74%
Sierra County,100.00%,4,"$2,543,636",-2.73%,-42.68%
Socorro County,100.00%,1,"$23,355,979",17.93%,-56.49%
Taos County,75.00%,16,"$15,085,070",4.74%,-26.88%
Torrance County,100.00%,2,"$281,056",2.56%,-47.87%
Union County,100.00%,3,"$1,803,298",-6.12%,-19.68%
Valencia County,100.00%,6,"$14,877,288",11.05%,-75.97%
