Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.83%,119,"$13,695,584",5.25%,-23.65%
$10M or more,90.57%,53,"$786,083,209",-1.36%,-40.93%
$1M to $4.9M,78.34%,157,"$193,160,652",3.43%,-35.90%
$500K to $999K,85.00%,60,"$28,153,042",4.82%,-54.66%
$5M to $9.9M,80.85%,47,"$145,036,703",0.71%,-42.74%
Less than $100K,58.33%,12,"$2,760,509",65.26%,-2.11%
Total,80.80%,448,"$1,168,889,699",2.67%,-35.76%
