Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.63%,201,"$35,631,164",7.04%,-24.64%
$10M or more,57.50%,120,"$660,994,053",3.63%,-3.72%
$1M to $4.9M,72.43%,185,"$152,676,097",3.85%,-17.49%
$500K to $999K,76.70%,103,"$29,892,885",2.80%,-28.74%
$5M to $9.9M,78.95%,57,"$100,569,314",1.75%,-21.07%
Less than $100K,45.83%,48,"$8,290,871",36.95%,0.21%
Total,69.61%,714,"$988,054,384",4.43%,-17.62%
