Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Connecticut,79.59%,"1,524","$4,173,366,215",1.79%,-25.12%
Capitol Planning Region,83.25%,394,"$878,742,706",0.82%,-29.04%
Greater Bridgeport Planning Region,85.96%,114,"$791,100,959",0.70%,-30.73%
Lower Connecticut River Valley Planning Region,77.78%,90,"$171,531,251",2.13%,-19.13%
Naugatuck Valley Planning Region,83.18%,107,"$233,863,221",2.34%,-29.45%
Northeastern Connecticut Planning Region,80.95%,21,"$56,249,907",-3.16%,-54.05%
Northwest Hills Planning Region,69.44%,108,"$76,231,054",8.83%,-12.50%
South Central Connecticut Planning Region,83.27%,275,"$1,430,799,497",1.53%,-31.78%
Southeastern Connecticut Planning Region,78.20%,133,"$265,569,074",2.47%,-24.04%
Western Connecticut Planning Region,71.99%,282,"$269,278,546",3.01%,-16.90%
