Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Texas,76.97%,"4,012","$16,833,145,900",3.99%,-25.18%
Anderson County,66.67%,3,"$1,167,988",7.47%,-11.36%
Andrews County,100.00%,1,"$609,221",31.77%,-59.26%
Angelina County,95.83%,24,"$83,400,337",-1.22%,-61.41%
Aransas County,50.00%,10,"$1,184,869",24.29%,0.77%
Archer County,50.00%,2,"$76,247",26.68%,-0.13%
Atascosa County,85.71%,7,"$10,223,023",27.37%,-46.97%
Austin County,57.14%,7,"$742,247",32.00%,-8.04%
Bailey County,100.00%,1,$380,-5.60%,-6.09%
Bandera County,50.00%,8,"$975,552",19.04%,2.01%
Bastrop County,76.47%,17,"$10,375,636",2.80%,-44.09%
Bee County,75.00%,4,"$6,213,217",11.54%,-44.77%
Bell County,81.97%,61,"$88,496,051",1.65%,-33.97%
Bexar County,83.45%,290,"$3,256,024,604",3.14%,-27.62%
Blanco County,66.67%,3,"$1,252,698",36.65%,-44.50%
Bosque County,66.67%,3,"$806,425",14.06%,-40.58%
Bowie County,90.00%,20,"$48,944,317",1.41%,-23.29%
Brazoria County,90.00%,50,"$40,630,075",1.20%,-32.71%
Brazos County,75.00%,44,"$85,607,070",7.37%,-19.43%
Brewster County,60.00%,10,"$6,274,822",18.49%,-17.76%
Briscoe County,0.00%,1,"$1,382",77.71%,77.32%
Brooks County,0.00%,1,"$110,000",68.69%,34.05%
Brown County,66.67%,9,"$3,569,830",17.05%,-31.00%
Burleson County,0.00%,1,"$24,000",39.60%,24.59%
Burnet County,83.33%,12,"$4,507,046",4.49%,-41.85%
Caldwell County,80.00%,5,"$1,176,834",18.06%,-18.22%
Calhoun County,100.00%,2,"$701,196",0.40%,-49.46%
Callahan County,33.33%,3,"$61,695",15.72%,14.58%
Cameron County,87.50%,48,"$125,889,464",6.42%,-26.21%
Camp County,0.00%,1,"$2,500",23.73%,20.54%
Carson County,100.00%,2,"$188,942",-9.46%,-42.54%
Cass County,100.00%,1,"$11,518,044",4.73%,-94.86%
Castro County,100.00%,2,"$500,320",-17.74%,-62.92%
Chambers County,66.67%,6,"$12,301,524",19.46%,-53.18%
Cherokee County,75.00%,4,"$1,847,220",10.52%,-4.51%
Childress County,100.00%,1,"$113,086",23.29%,-19.31%
Clay County,100.00%,1,"$86,550",-3.45%,-40.39%
Cochran County,100.00%,1,"$196,876",-8.55%,-101.98%
Coke County,100.00%,1,"$16,000",-8.06%,-15.00%
Coleman County,66.67%,3,"$11,562,480",15.72%,-16.39%
Collin County,73.56%,87,"$111,010,726",4.15%,-19.10%
Colorado County,50.00%,4,"$2,306,864",29.75%,-16.27%
Comal County,82.14%,28,"$65,084,037",4.32%,-19.66%
Comanche County,100.00%,2,"$3,582,536",32.46%,-20.80%
Concho County,100.00%,1,"$136,928",22.89%,-28.26%
Cooke County,63.64%,11,"$6,973,113",5.22%,-35.18%
Coryell County,50.00%,4,"$481,481",31.55%,-16.33%
Crosby County,100.00%,1,"$228,546",-14.81%,-85.51%
Dallam County,80.00%,5,"$616,750",28.55%,-11.98%
Dallas County,74.71%,427,"$2,041,097,446",2.21%,-25.35%
Dawson County,100.00%,1,"$29,911,530",3.87%,-83.64%
DeWitt County,75.00%,4,"$297,851",25.90%,-26.00%
Deaf Smith County,83.33%,6,"$1,001,483",2.41%,-39.50%
Denton County,73.58%,53,"$87,933,892",6.42%,-17.45%
Dimmit County,100.00%,4,"$15,150,102",3.98%,-57.04%
Donley County,100.00%,1,"$103,500",3.01%,-30.61%
Eastland County,50.00%,4,"$552,583",37.26%,-7.02%
Ector County,75.00%,20,"$22,048,190",12.21%,-29.72%
El Paso County,82.11%,95,"$386,382,216",3.91%,-38.94%
Ellis County,100.00%,20,"$12,627,648",-1.82%,-37.23%
Erath County,66.67%,9,"$3,013,677",10.72%,-43.36%
Falls County,50.00%,2,"$222,749",24.33%,11.13%
Fannin County,100.00%,3,"$1,452,947",5.34%,-73.79%
Fayette County,55.56%,9,"$1,979,570",16.33%,-1.38%
Fisher County,100.00%,1,"$385,774",2.29%,-43.76%
Floyd County,75.00%,4,"$686,713",14.84%,-24.73%
Foard County,66.67%,3,"$29,329,585",15.07%,-74.76%
Fort Bend County,75.00%,48,"$51,484,884",9.02%,-21.10%
Franklin County,100.00%,1,"$1,316,985",0.00%,-96.04%
Freestone County,100.00%,2,"$25,112",-73.24%,-82.46%
Frio County,100.00%,1,"$428,845",-0.92%,-2.43%
Gaines County,100.00%,1,"$418,687",18.63%,-70.92%
Galveston County,73.08%,52,"$53,228,689",3.55%,-15.91%
Garza County,75.00%,4,"$631,994",6.46%,-34.70%
Gillespie County,46.67%,15,"$4,187,937",13.95%,1.41%
Goliad County,100.00%,5,"$246,102",-21.60%,-33.75%
Gonzales County,50.00%,2,"$7,144,225",21.40%,3.42%
