Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Tennessee,78.84%,"1,838","$3,839,141,532",4.64%,-26.86%
1st Congressional district,81.85%,248,"$226,505,156",2.76%,-29.15%
2nd Congressional district,75.74%,202,"$341,018,212",3.84%,-24.09%
3rd Congressional district,78.90%,218,"$326,286,833",6.16%,-17.90%
4th Congressional district,75.21%,117,"$101,437,704",4.23%,-28.87%
5th Congressional district,72.37%,152,"$208,350,049",6.05%,-19.53%
6th Congressional district,79.60%,201,"$287,572,533",6.21%,-26.93%
7th Congressional district,76.36%,258,"$1,266,900,149",5.44%,-26.26%
8th Congressional district,79.11%,158,"$193,671,932",5.48%,-26.90%
9th Congressional district,84.86%,284,"$887,398,964",2.72%,-38.10%
