Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",55.00%,40,"$4,959,693",4.43%,-3.87%
Education,73.17%,82,"$59,277,709",2.31%,-11.64%
Environment and animals,50.00%,24,"$2,272,996",11.97%,5.40%
Health,78.33%,60,"$122,863,419",1.73%,-22.53%
Hospitals,50.00%,2,"$488,082",3.21%,0.98%
Human services,80.20%,197,"$134,145,375",1.33%,-20.57%
"International, foreign affairs",100.00%,1,"$90,539",-25.18%,-34.83%
"Public, societal benefit",69.70%,33,"$29,873,595",5.16%,-17.29%
Religion-related,60.00%,5,"$390,315",-14.03%,-33.55%
Unclassified,70.75%,147,"$460,017,848",1.73%,-12.49%
Universities,55.56%,9,"$152,288,389",-0.84%,-2.95%
Total,72.67%,600,"$966,667,960",2.07%,-15.61%
