Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Arizona,80.35%,"1,313","$4,392,559,541",4.45%,-26.25%
Apache County,81.25%,16,"$20,165,239",3.17%,-47.27%
Cochise County,86.36%,22,"$42,895,166",2.16%,-29.06%
Coconino County,81.03%,58,"$118,697,951",4.40%,-32.09%
Gila County,75.00%,8,"$10,838,493",5.68%,-32.68%
Graham County,90.00%,10,"$8,095,747",7.08%,-76.66%
La Paz County,80.00%,5,"$1,986,313",1.42%,-46.35%
Maricopa County,79.92%,742,"$2,873,477,763",4.21%,-25.50%
Mohave County,84.62%,26,"$64,950,167",6.86%,-58.73%
Navajo County,85.00%,20,"$76,024,241",0.69%,-38.51%
Pima County,78.97%,252,"$944,371,390",4.98%,-21.96%
Pinal County,90.91%,33,"$82,216,248",3.48%,-50.49%
Santa Cruz County,82.35%,17,"$13,551,774",7.44%,-36.41%
Yavapai County,78.38%,74,"$59,261,011",5.06%,-22.56%
Yuma County,80.00%,30,"$76,028,038",10.30%,-10.79%
