Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.37%,800,"$100,619,121",4.97%,-31.46%
$10M or more,73.54%,291,"$3,955,789,082",2.23%,-10.46%
$1M to $4.9M,75.89%,643,"$524,741,443",3.58%,-21.39%
$500K to $999K,76.57%,367,"$87,716,085",2.84%,-21.18%
$5M to $9.9M,74.69%,162,"$369,116,410",2.89%,-21.59%
Less than $100K,61.81%,144,"$11,915,928",29.91%,-12.92%
Total,75.95%,"2,407","$5,049,898,069",3.87%,-22.61%
