Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.62%,130,"$17,240,354",4.73%,-24.89%
$10M or more,53.97%,63,"$422,188,794",3.88%,-1.97%
$1M to $4.9M,79.76%,84,"$88,852,919",4.82%,-21.83%
$500K to $999K,73.53%,68,"$36,978,160",5.77%,-20.68%
$5M to $9.9M,80.00%,35,"$82,020,141",4.10%,-14.84%
Less than $100K,50.00%,24,"$1,129,877",47.29%,-8.24%
Total,71.29%,404,"$648,410,245",5.25%,-17.33%
