Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
New Hampshire,72.67%,600,"$966,667,960",2.07%,-15.61%
Belknap County,79.17%,24,"$11,664,228",4.92%,-9.16%
Carroll County,66.67%,42,"$13,589,835",4.29%,-12.95%
Cheshire County,75.00%,40,"$28,444,420",-3.07%,-11.15%
Coos County,77.27%,22,"$52,606,725",2.89%,-19.46%
Grafton County,62.32%,69,"$250,664,559",2.89%,-9.01%
Hillsborough County,76.92%,156,"$268,824,222",0.94%,-24.36%
Merrimack County,79.41%,102,"$192,706,777",2.00%,-25.30%
Rockingham County,65.52%,87,"$70,398,092",4.14%,-12.31%
Strafford County,78.05%,41,"$72,414,336",1.31%,-18.53%
Sullivan County,52.94%,17,"$5,354,766",7.75%,-4.57%
