Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,69.96%,233,"$26,065,555",3.90%,-23.90%
$10M or more,74.79%,119,"$824,908,251",2.43%,-7.69%
$1M to $4.9M,80.91%,220,"$191,453,453",2.44%,-23.94%
$500K to $999K,68.14%,113,"$24,080,381",4.75%,-13.13%
$5M to $9.9M,82.00%,50,"$120,796,425",2.84%,-22.97%
Less than $100K,55.26%,38,"$1,071,641",23.21%,-4.39%
Total,73.61%,773,"$1,188,375,706",3.18%,-17.14%
