Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.07%,597,"$72,903,450",3.63%,-32.57%
$10M or more,77.50%,360,"$4,074,039,639",1.61%,-12.07%
$1M to $4.9M,81.44%,652,"$701,422,283",3.72%,-32.83%
$500K to $999K,81.04%,327,"$119,294,086",4.34%,-27.49%
$5M to $9.9M,76.28%,215,"$667,481,721",5.64%,-27.41%
Less than $100K,69.28%,153,"$6,102,435",12.12%,-22.65%
Total,79.38%,"2,304","$5,641,243,614",3.68%,-27.56%
