Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",52.83%,53,"$9,349,053",9.56%,-1.37%
Education,87.30%,63,"$86,967,326",2.77%,-26.83%
Environment and animals,58.33%,24,"$5,394,238",5.41%,-6.03%
Health,88.37%,43,"$96,214,504",2.47%,-19.82%
Hospitals,85.71%,7,"$6,869,819",-1.10%,-11.64%
Human services,78.48%,158,"$147,292,314",1.34%,-29.42%
"International, foreign affairs",100.00%,2,"$20,964,675",-0.65%,-30.42%
Mutual/membership benefit,50.00%,2,"$318,705",2.97%,-18.03%
"Public, societal benefit",80.95%,42,"$52,375,890",1.15%,-47.16%
Religion-related,100.00%,3,"$1,214,591",7.73%,-41.37%
Unclassified,76.23%,122,"$577,967,018",3.43%,-19.48%
Universities,37.50%,8,"$24,776,415",1.66%,0.92%
Total,76.09%,527,"$1,029,704,548",2.99%,-20.19%
