Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",73.16%,"8,500","$5,617,305,978",2.24%,-15.56%
Education,80.38%,"8,646","$31,154,444,623",3.27%,-29.00%
Environment and animals,68.99%,"3,531","$6,155,712,353",6.11%,-17.50%
Health,80.27%,"7,061","$24,077,048,277",2.98%,-26.34%
Hospitals,57.93%,832,"$6,450,048,628",2.08%,-1.95%
Human services,80.63%,"26,736","$56,469,665,810",2.84%,-34.80%
"International, foreign affairs",80.90%,670,"$10,101,349,763",0.94%,-31.16%
Mutual/membership benefit,78.33%,60,"$28,609,983",5.93%,-31.17%
"Public, societal benefit",80.34%,"6,877","$29,984,488,230",3.37%,-35.42%
Religion-related,77.14%,"1,155","$1,317,776,683",3.42%,-20.50%
Unclassified,79.80%,"16,552","$54,978,573,926",2.30%,-27.24%
Universities,62.81%,734,"$14,402,794,463",1.10%,-3.23%
Total,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
