EIN2,CENSUS_REGION,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,CONGRESS_DISTRICT_NAME,SUBSECTOR,EXPENSE_CATEGORY,GOVERNMENT_GRANT_DOLLAR_AMOUNT,PROFIT_MARGIN,PROFIT_MARGIN_NOGOVTGRANT,AT_RISK_NUM
EIN-20-0869206,East North Central,Dane County,Wisconsin,2nd Congressional district,"International, foreign affairs",$100K to $499K,380721,-0.129058550568926,-1.01063061227325,1
EIN-31-0858562,East North Central,Franklin County,Ohio,15th Congressional district,"Arts, culture, and humanities",$5M to $9.9M,1759461,0.128262519037382,-0.0501662025084622,1
EIN-92-6002302,Pacific,Anchorage Municipality,Alaska,Congressional district (at large),"Arts, culture, and humanities",$1M to $4.9M,119550,0.136870970239413,0.10612087629151,0
EIN-36-4494707,West North Central,Hennepin County,Minnesota,3rd Congressional district,Human services,$5M to $9.9M,370669,-0.0589964916794013,-0.126149896688881,1
EIN-56-1803808,South Atlantic,Mecklenburg County,North Carolina,12th Congressional district,Unclassified,$5M to $9.9M,262316,-0.00509813627547127,-0.0390541264043693,1
EIN-23-7033120,West North Central,Lancaster County,Nebraska,1st Congressional district,Unclassified,$5M to $9.9M,280904,0.0521028723490421,0.00198831878325238,0
EIN-26-1332748,South Atlantic,Mecklenburg County,North Carolina,14th Congressional district,Health,$1M to $4.9M,433931,0.332306409275209,0.0513390804820975,0
EIN-27-1819074,East North Central,Franklin County,Ohio,3rd Congressional district,"Arts, culture, and humanities",$1M to $4.9M,339461,4.50499509896138e-05,-0.168006613926871,1
EIN-48-0892178,West North Central,Thomas County,Kansas,1st Congressional district,Hospitals,$10M or more,410251,0.0149705218229976,0.00873311861007916,0
EIN-46-5580167,Pacific,Los Angeles County,California,34th Congressional district,Education,$1M to $4.9M,3492799,-0.0298654766189618,-0.961782275379252,1
EIN-25-1922851,Mid-Atlantic,New York County,New York,12th Congressional district,Health,$10M or more,725086,0.114629357649753,0.0528944287642133,0
EIN-51-0172118,Pacific,San Diego County,California,50th Congressional district,"Public, societal benefit",$100K to $499K,71190,-0.103521179690966,-0.276125174870953,1
EIN-52-1759564,East North Central,Milwaukee County,Wisconsin,4th Congressional district,Unclassified,$10M or more,7942215,0.141781981095807,-0.391268609955521,1
EIN-13-3218253,Mid-Atlantic,New York County,New York,12th Congressional district,"Arts, culture, and humanities",$10M or more,129260,0.0640888747814769,0.0563562528860489,0
EIN-01-0714415,South Atlantic,Miami-Dade County,Florida,24th Congressional district,"Public, societal benefit",$1M to $4.9M,105180,-0.0454621252439241,-0.138756430725563,1
EIN-16-1000729,Mid-Atlantic,Monroe County,New York,25th Congressional district,Unclassified,$500K to $999K,60000,0.100818603986699,0.0458725930213072,0
EIN-63-0504958,East South Central,Madison County,Alabama,5th Congressional district,Education,$1M to $4.9M,609255,0.12683697226165,-0.0971399203505371,1
EIN-95-2142369,Pacific,Orange County,California,45th Congressional district,Human services,$500K to $999K,216504,0.317699101649121,0.153843534068462,0
EIN-56-1964773,South Atlantic,Rowan County,North Carolina,6th Congressional district,Hospitals,$1M to $4.9M,10000,0.0959036910433011,0.0937177921459341,0
EIN-91-6058223,Pacific,Pierce County,Washington,10th Congressional district,"Arts, culture, and humanities",$100K to $499K,47018,-0.783377685963029,-1.02261729701676,1
EIN-58-1727604,South Atlantic,Clayton County,Georgia,13th Congressional district,"Arts, culture, and humanities",$100K to $499K,120000,-0.628671611709509,-1.12427724178947,1
EIN-16-0914440,Mid-Atlantic,Monroe County,New York,25th Congressional district,Health,$1M to $4.9M,191750,0.0246421213418101,-0.0314891065899086,1
EIN-86-1676916,Pacific,Los Angeles County,California,43rd Congressional district,Education,$1M to $4.9M,2712564,0.106227570718206,-0.887904166862129,1
EIN-45-4243194,East North Central,Macomb County,Michigan,10th Congressional district,Human services,$500K to $999K,426072,-0.195510592146226,-0.768482969055307,1
EIN-46-0370602,West North Central,Custer County,South Dakota,Congressional district (at large),Human services,$100K to $499K,32121,0.188071642221341,-0.0434394032217377,1
EIN-33-0821743,Pacific,Riverside County,California,25th Congressional district,Human services,$1M to $4.9M,8000,0.305723442288794,0.301057671838868,0
EIN-87-2255699,Unmapped,,Other/unmapped jurisdictions,Unmapped,Unclassified,$100K to $499K,64946,0.250582592178845,0.0352936496623783,0
EIN-35-1976975,East North Central,Marion County,Indiana,7th Congressional district,"Public, societal benefit",$1M to $4.9M,600820,-0.211548919185983,-0.599582787059941,1
EIN-06-0655494,South Atlantic,Durham County,North Carolina,4th Congressional district,"Public, societal benefit",$1M to $4.9M,60641,-0.0769705933643481,-0.0900910062178134,1
EIN-27-3699931,East South Central,Tuscaloosa County,Alabama,7th Congressional district,"Public, societal benefit",$1M to $4.9M,1127872,0.0645184345232544,-0.918521333425141,1
EIN-88-2668962,East North Central,Cuyahoga County,Ohio,11th Congressional district,Education,$500K to $999K,562256,-0.218215212826349,-0.992932886534869,1
EIN-25-1660845,Mid-Atlantic,Dauphin County,Pennsylvania,10th Congressional district,Environment and animals,$100K to $499K,242772,0.117750297067403,-0.413517825138358,1
EIN-03-0193820,New England,Chittenden County,Vermont,Congressional district (at large),Unclassified,$100K to $499K,153006,-0.0456421007651528,-0.726694886963024,1
EIN-16-1550629,Mid-Atlantic,Ontario County,New York,24th Congressional district,Education,$100K to $499K,3231,0.162823520852658,0.1510703697641,0
EIN-64-0468881,East South Central,Newton County,Mississippi,3rd Congressional district,"Public, societal benefit",$5M to $9.9M,7757364,0.0208722002528322,-0.960961749635358,1
EIN-35-2169859,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),Human services,$10M or more,5662612,0.0089985338390414,-0.539225227262694,1
EIN-23-7125943,Mid-Atlantic,Monmouth County,New Jersey,4th Congressional district,Human services,$100K to $499K,429649,0.478762223982348,-0.272465638217331,1
EIN-95-6096078,Pacific,Ventura County,California,26th Congressional district,"Public, societal benefit",$100K to $499K,4961,-0.0281344205464914,-0.040127448586631,1
EIN-75-0866501,West South Central,Ector County,Texas,11th Congressional district,Unclassified,$1M to $4.9M,45372,0.0651022645183264,0.053705826621026,0
EIN-45-2299709,Pacific,King County,Washington,8th Congressional district,Human services,$100K to $499K,19180,0.540221552524656,0.474011246776649,0
EIN-22-6076337,Mid-Atlantic,Atlantic County,New Jersey,2nd Congressional district,Unclassified,$5M to $9.9M,639519,0.059391689194944,-0.0414759517868578,1
EIN-52-2158152,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),"International, foreign affairs",$10M or more,62762307,0.21099893429554,-0.34959908175348,1
EIN-23-7331452,New England,Hillsborough County,New Hampshire,1st Congressional district,Unclassified,$10M or more,77770,0.00351810934503568,0.000339557755042594,0
EIN-77-0114650,Pacific,Madera County,California,13th Congressional district,Human services,$100K to $499K,51550,-0.385505504729415,-0.718567478161989,1
EIN-86-0796796,Mountain,Maricopa County,Arizona,4th Congressional district,Environment and animals,$100K to $499K,29353,-0.115723088902613,-0.214241602448782,1
EIN-47-4941783,South Atlantic,Pinellas County,Florida,13th Congressional district,"Arts, culture, and humanities",$100K to $499K,21324,0.0666076430250153,-0.00204436431537942,1
EIN-75-2571525,West South Central,Tarrant County,Texas,12th Congressional district,"Arts, culture, and humanities",$10M or more,931551,0.213783019162893,0.186096247561528,0
EIN-51-0201786,South Atlantic,Bland County,Virginia,9th Congressional district,Health,$500K to $999K,180259,-0.0586290465852424,-0.260039576170721,1
EIN-13-4012789,Mid-Atlantic,Richmond County,New York,11th Congressional district,"Public, societal benefit",$500K to $999K,307343,0.0846833709258666,-0.334185582184546,1
EIN-13-4311862,South Atlantic,Franklin city,Virginia,2nd Congressional district,"Public, societal benefit",$100K to $499K,2e+05,-0.103253343070504,-0.548550779493163,1
EIN-58-1053728,South Atlantic,Fulton County,Georgia,5th Congressional district,Education,$1M to $4.9M,15572,-5.50549661562095,-5.58855658500419,1
EIN-01-0318866,New England,Washington County,Maine,2nd Congressional district,Education,Less than $100K,21500,0.267724233220799,-0.012526558650625,1
EIN-20-5312786,Mid-Atlantic,Albany County,New York,20th Congressional district,Education,$5M to $9.9M,985093,-0.0510352289926078,-0.19990524600148,1
EIN-47-3549152,East South Central,Washington County,Tennessee,1st Congressional district,Education,$500K to $999K,18071,0.00275034670191082,-0.0252820928075254,1
EIN-82-1626178,Pacific,Douglas County,Washington,4th Congressional district,Health,$5M to $9.9M,5195364,-0.26327851306596,-1.18390531055466,1
EIN-04-2487201,New England,Dukes County,Massachusetts,9th Congressional district,Education,$100K to $499K,75869,-0.120460381647816,-0.346214616641225,1
EIN-23-7317457,East North Central,Stephenson County,Illinois,17th Congressional district,Unclassified,$500K to $999K,273925,0.0763318649832763,-0.331596927484952,1
EIN-20-1643998,South Atlantic,Carroll County,Maryland,2nd Congressional district,Human services,$500K to $999K,520719,0.0956484914705778,-0.74601006656085,1
