Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.65%,"23,396","$3,234,159,011",4.65%,-30.56%
$10M or more,74.10%,"11,556","$191,048,519,755",1.83%,-12.83%
$1M to $4.9M,81.02%,"23,106","$22,956,730,735",2.24%,-29.88%
$500K to $999K,82.19%,"13,029","$4,257,326,617",2.16%,-31.03%
$5M to $9.9M,81.78%,"6,421","$18,792,564,147",1.83%,-28.76%
Less than $100K,60.92%,"3,846","$448,518,452",27.00%,-11.16%
Total,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
