CITY,geometry
"Philadelphia, PA","list(list(c(-75.280266, -75.276482, -75.275871, -75.273552, -75.271309, -75.269257, -75.267973, -75.265566, -75.263687, -75.253999, -75.251438, -75.25, -75.247948, -75.245689, -75.237331, -75.235298, -75.227462, -75.226402, -75.220665, -75.213745, -75.208221, -75.207376, -75.205978, -75.207599, -75.208008, -75.212219, -75.214631, -75.216276, -75.219617, -75.222153, -75.223694, -75.226652, -75.228149, -75.232042, -75.234765, -75.2404, -75.242414, -75.245598, -75.247919, -75.251298, -75.254678, -75.255098, 
-75.257655, -75.264431, -75.252209, -75.243288, -75.232952, -75.2305, -75.22361, -75.21357, -75.212375, -75.211868, -75.209396, -75.197601, -75.190831, -75.189203, -75.188461, -75.186096, -75.182053, -75.180901, -75.179756, -75.176438, -75.172951, -75.171601, -75.169914, -75.163399, -75.161285, -75.158417, -75.154076, -75.151596, -75.148331, -75.146683, -75.143117, -75.140897, -75.139427, -75.136719, -75.135124, -75.130135, -75.129021, -75.12632, -75.124916, -75.122147, -75.118652, -75.118553, -75.117104, 
-75.112363, -75.110985, -75.109431, -75.109406, -75.10789, -75.10323, -75.102413, -75.100935, -75.100896, -75.095078, -75.093504, -75.093644, -75.087425, -75.096733, -75.090317, -75.090193, -75.086906, -75.082456, -75.077805, -75.07127, -75.069456, -75.058342, -75.054321, -75.048542, -75.044263, -75.043856, -75.037842, -75.033263, -75.024891, -75.020571, -75.015066, -75.009117, -75.005946, -75.003255, -74.997885, -74.993894, -74.992751, -74.994407, -74.994167, -74.989156, -74.986907, -74.983432, 
-74.982371, -74.980058, -74.979132, -74.975724, -74.972961, -74.970178, -74.969202, -74.967122, -74.964991, -74.96426, -74.963174, -74.964137, -74.96377, -74.965431, -74.963682, -74.963926, -74.961156, -74.961088, -74.961766, -74.95994, -74.958749, -74.958623, -74.955777, -74.956447, -74.957747, -74.9576, -74.958629, -74.958421, -74.959085, -74.962014, -74.963604, -74.964842, -74.967063, -74.971086, -74.971466, -74.971063, -74.9748, -74.977124, -74.980878, -74.981023, -74.980437, -74.985163, -74.984302, 
-74.983904, -74.983194, -74.982022, -74.979695, -74.974784, -74.9739353371246, -74.977435, -74.9777037117411, -74.9816115283144, -74.9827961924727, -74.9848789662495, -74.9868143124279, -74.988884, -74.9900960784309, -75.0034202352729, -75.008568, -75.012214, -75.0137798100633, -75.01386888944, -75.019645, -75.0207232233991, -75.0304411216131, -75.034216, -75.0353056761157, -75.042889, -75.0429558967724, -75.04709, -75.0522649510611, -75.053405, -75.053770533915, -75.058089, -75.059647, -75.0601125243152, 
-75.064175, -75.065442755749, -75.0677013084627, -75.068613695206, -75.068802, -75.075605, -75.085831, -75.093718, -75.0940172662723, -75.102287, -75.1127061488976, -75.1190259948554, -75.11922, -75.1238828492153, -75.1254391310105, -75.12692, -75.13012, -75.1302180639462, -75.1322946398533, -75.133855, -75.1341937638476, -75.1342172247016, -75.13572, -75.1358359678899, -75.1360127366204, -75.1360399357798, -75.13612, -75.1358764864865, -75.13502, -75.1349749231933, -75.1343275549777, -75.132344, 
-75.13012, -75.1292771681305, -75.12792, -75.1290051714682, -75.1295487647058, -75.1302604821092, -75.13082, -75.13342, -75.1354146404213, -75.137296, -75.1394044896645, -75.141522, -75.143746, -75.1444134944429, -75.1453491615688, -75.148893, -75.1653943175261, -75.1745345677471, -75.183023, -75.1849440432167, -75.188466318753, -75.189323, -75.195018, -75.1952314037751, -75.199857, -75.1999309920163, -75.204087, -75.2116900572609, -75.216039, -75.215787, -75.215722, -75.21977, -75.223763, -75.229985, 
-75.234122, -75.23637, -75.24047, -75.241746, -75.246824, -75.248431, -75.253515, -75.261245, -75.262528, -75.265003, -75.264563, -75.261965, -75.264602, -75.26273, -75.264878, -75.262485, -75.261743, -75.259112, -75.256789, -75.257362, -75.255093, -75.255597, -75.251288, -75.253492, -75.2525, -75.250319, -75.249929, -75.251498, -75.2472, -75.24694, -75.247341, -75.247484, -75.247511, -75.244336, -75.243643, -75.243369, -75.241909, -75.237436, -75.236647, -75.23492, -75.234868, -75.236878, -75.23957, 
-75.240626, -75.239903, -75.240367, -75.247028, -75.247208, -75.250118, -75.251609, -75.251577, -75.250816, -75.249006, -75.249499, -75.250883, -75.248546, -75.247688, -75.248056, -75.250313, -75.25414, -75.25711, -75.259078, -75.260491, -75.265448, -75.267386, -75.270002, -75.270598, -75.275394, -75.27754, -75.280266, 39.974964, 39.976959, 39.977245, 39.978279, 39.979275, 39.980186, 39.980757, 39.981832, 39.982658, 39.988304, 39.989504, 39.99018, 39.991138, 39.992191, 39.996128, 39.99707, 40.000746, 
40.001255, 40.003944, 40.00716, 40.009947, 40.01048, 40.011723, 40.012719, 40.012997, 40.015461, 40.017835, 40.019564, 40.021908, 40.022614, 40.023712, 40.025267, 40.026031, 40.028037, 40.030162, 40.033899, 40.035923, 40.037655, 40.040762, 40.043505, 40.045924, 40.046122, 40.047611, 40.054094, 40.065278, 40.073494, 40.083618, 40.086022, 40.092907, 40.087154, 40.085995, 40.086086, 40.084927, 40.077991, 40.074114, 40.073174, 40.07275, 40.075123, 40.079102, 40.080219, 40.081333, 40.084649, 40.082581, 
40.081813, 40.080818, 40.07695, 40.075764, 40.074169, 40.071732, 40.070328, 40.068485, 40.067547, 40.065493, 40.064239, 40.063358, 40.061821, 40.060989, 40.057796, 40.057091, 40.055481, 40.054684, 40.053177, 40.051186, 40.051132, 40.050304, 40.047563, 40.046769, 40.045874, 40.04584, 40.048195, 40.051355, 40.051792, 40.052699, 40.052723, 40.056091, 40.057241, 40.057429, 40.063599, 40.068989, 40.075115, 40.075238, 40.078648, 40.082884, 40.08577, 40.092532, 40.094411, 40.105892, 40.108692, 40.112729, 
40.115713, 40.115997, 40.120213, 40.123385, 40.129216, 40.132274, 40.137992, 40.134355, 40.132524, 40.131012, 40.127816, 40.131883, 40.130606, 40.127278, 40.126094, 40.126162, 40.123375, 40.12362, 40.119942, 40.119883, 40.119343, 40.120252, 40.119803, 40.117004, 40.116817, 40.117943, 40.118635, 40.117558, 40.116675, 40.113462, 40.109753, 40.107886, 40.107047, 40.105589, 40.103446, 40.102777, 40.097752, 40.09737, 40.096929, 40.096872, 40.095103, 40.092757, 40.089844, 40.087094, 40.084294, 40.08392, 
40.082349, 40.079584, 40.077105, 40.077148, 40.076378, 40.076007, 40.074355, 40.073966, 40.070821, 40.06825, 40.066028, 40.064939, 40.060304, 40.056932, 40.05585, 40.054994, 40.054223, 40.053727, 40.053399, 40.049316, 40.048038036367, 40.045714, 40.0455162625191, 40.0426406092193, 40.0417688478835, 40.040236192711, 40.0388120253992, 40.037289, 40.0364635009427, 40.0273889405574, 40.023883, 40.020698, 40.0202213666582, 40.0201942508528, 40.018436, 40.0181979487561, 40.0160524214378, 40.015219, 40.0148185851746, 
40.012032, 40.0119987028919, 40.009941, 40.0055379893822, 40.004568, 40.004008929768, 39.997404, 39.992145, 39.9915160075617, 39.986027, 39.9849893965806, 39.9831408685653, 39.9823941193549, 39.98224, 39.978041, 39.975102, 39.974412, 39.9743409290624, 39.972377, 39.9680913227974, 39.9654917995531, 39.965412, 39.9628080712174, 39.9619389787863, 39.961112, 39.958712, 39.9585939819442, 39.9560948631484, 39.954217, 39.952926427808, 39.9528370501312, 39.947112, 39.943285059633, 39.9374516915264, 39.936554119266, 
39.933912, 39.9324509189189, 39.927312, 39.9272168940019, 39.9258510341569, 39.921666, 39.917013, 39.9150208519448, 39.911813, 39.907472314127, 39.9052979411765, 39.9024510715631, 39.900213, 39.896213, 39.8929982118906, 39.889966, 39.8884317818934, 39.886891, 39.884998, 39.8848331689456, 39.8846021153383, 39.883727, 39.8828983079918, 39.8824392869288, 39.882013, 39.8816165942569, 39.8808897754954, 39.880713, 39.877521, 39.8773314106573, 39.873222, 39.8731867007355, 39.871204, 39.8669542235479, 39.871115, 
39.875052, 39.876087, 39.875479, 39.875858, 39.876847, 39.877181, 39.876187, 39.872381, 39.872585, 39.875142, 39.876485, 39.876015, 39.876484, 39.876561, 39.880983, 39.882123, 39.88324, 39.884737, 39.885554, 39.887927, 39.888406, 39.891774, 39.892436, 39.895189, 39.895844, 39.898756, 39.899596, 39.904403, 39.905585, 39.906614, 39.907626, 39.909352, 39.910051, 39.913578, 39.916871, 39.918541, 39.919242, 39.921709, 39.92625, 39.930897, 39.931908, 39.933544, 39.932557, 39.933897, 39.936333, 39.937456, 
39.938432, 39.938039, 39.939191, 39.940035, 39.942171, 39.943414, 39.943904, 39.94697, 39.951466, 39.952127, 39.953475, 39.956907, 39.957189, 39.959024, 39.960269, 39.962817, 39.964074, 39.965069, 39.965404, 39.963719, 39.965692, 39.966313, 39.965257, 39.966215, 39.967479, 39.96866, 39.969575, 39.971127, 39.974964)))"
"Memphis, TN","list(list(c(-89.759521, -89.758859, -89.756991, -89.756618, -89.753607, -89.75889, -89.758923, -89.75901, -89.759156, -89.759521, 35.125057, 35.127812, 35.126823, 35.125793, 35.123037, 35.12309, 35.123654, 35.124025, 35.124441, 35.125057)), list(c(-90.186442, -90.184836, -90.18496, -90.18448, -90.184631, -90.179307, -90.173222, -90.17436, -90.175204, -90.178878, -90.1805415544578, -90.177615, -90.176759, -90.175, -90.1760925809271, -90.178513, -90.180987, -90.181374, -90.176843, -90.1729482557024, 
-90.172332, -90.1680287394518, -90.167358, -90.1668727481542, -90.154697, -90.15068, -90.141805, -90.1291, -90.106838, -90.095009, -90.089667, -90.0866593819435, -90.082623, -90.0754084622314, -90.075238597681, -90.073021, -90.066547, -90.065721216964, -90.065182, -90.0646350920359, -90.06401, -90.0648759657953, -90.063809, -90.063044, -90.060913, -90.06141, -90.061158, -90.060203, -90.061665, -90.065289, -90.066721, -90.067492, -90.064979, -90.063225, -90.061193, -90.058817, -90.057672, -90.045948, 
-90.045908, -90.045712, -90.040994, -90.04068, -90.037302, -90.035515, -90.027582, -90.022213, -90.014047, -90.015964, -90.014591, -90.017807, -90.017721, -90.021827, -90.024129, -90.022462, -90.021152, -90.018488, -90.014478, -90.01391, -90.013992, -90.012519, -90.012832, -90.012136, -90.011395, -90.00845, -89.994009, -89.993907, -89.993109, -89.994727, -89.992371, -89.991425, -89.990041, -89.988112, -89.989161, -89.987831, -89.987771, -89.987788, -89.98775, -89.98742, -89.987306, -89.987147, -89.986666, 
-89.985968, -89.985813, -89.985493, -89.985094, -89.985565, -89.98537, -89.983451, -89.978057, -89.977629, -89.976783, -89.97632, -89.974884, -89.97457, -89.974646, -89.974978, -89.975296, -89.977077, -89.975184, -89.974128, -89.973288, -89.969368, -89.96996, -89.968828, -89.965379, -89.962298, -89.929427, -89.926611, -89.926199, -89.923201, -89.925586, -89.923901, -89.925155, -89.923534, -89.924419, -89.923843, -89.92416, -89.922414, -89.922873, -89.914527, -89.912849, -89.912095, -89.9121, -89.911174, 
-89.911956, -89.905163, -89.90415, -89.903297, -89.90105, -89.900393, -89.896121, -89.89739, -89.897582, -89.897424, -89.897112, -89.897133, -89.888323, -89.887875, -89.887746, -89.887036, -89.885204, -89.884753, -89.884749, -89.882629, -89.880314, -89.882097, -89.884249, -89.887216, -89.884875, -89.888132, -89.885783, -89.885798, -89.881605, -89.882056, -89.882391, -89.882629, -89.882938, -89.883195, -89.882673, -89.880738, -89.880422, -89.88043, -89.885213, -89.884886, -89.887462, -89.887613, -89.88523, 
-89.880679, -89.879102, -89.879111, -89.878915, -89.879735, -89.8796, -89.879621, -89.879796, -89.876368, -89.86927, -89.861331, -89.861366, -89.852303, -89.849883, -89.847458, -89.847337, -89.847058, -89.846609, -89.846918, -89.846092, -89.845149, -89.838955, -89.835334, -89.833522, -89.833478, -89.824469, -89.821835, -89.821007, -89.814801, -89.80853, -89.804174, -89.795755, -89.792006, -89.780177, -89.775303, -89.775448, -89.773227, -89.772488, -89.772435, -89.770905, -89.760457, -89.749829, -89.746264, 
-89.742874, -89.732792, -89.724838, -89.720642, -89.718096, -89.712002, -89.704581, -89.69919, -89.699189, -89.712912, -89.72028, -89.720884, -89.720829, -89.720769, -89.723078, -89.723087, -89.725649, -89.725568, -89.726085, -89.729021, -89.730291, -89.734211, -89.736684, -89.737347, -89.740266, -89.751944, -89.753327, -89.754711, -89.754798, -89.756254, -89.761878, -89.761721, -89.76007, -89.757052, -89.756163, -89.756184, -89.75658, -89.756529, -89.748551, -89.748628, -89.756601, -89.756609, -89.758412, 
-89.758335, -89.761303, -89.761371, -89.76256, -89.765701, -89.765248, -89.767274, -89.767389, -89.764191, -89.764824, -89.764896, -89.763304, -89.764761, -89.766722, -89.768094, -89.771029, -89.77105, -89.762167, -89.761372, -89.761503, -89.760137, -89.760164, -89.760642, -89.761731, -89.761866, -89.762223, -89.7624, -89.763522, -89.763976, -89.763659, -89.763679, -89.76312, -89.761246, -89.761009, -89.767127, -89.767907, -89.769964, -89.770731, -89.771333, -89.77569, -89.776078, -89.778735, -89.778899, 
-89.77903, -89.781277, -89.781112, -89.782245, -89.782355, -89.786573, -89.79129, -89.793806, -89.797056, -89.800957, -89.803884, -89.807233, -89.819285, -89.820871, -89.834063, -89.83413, -89.834171, -89.834182, -89.83438, -89.835988, -89.836068, -89.836149, -89.839294, -89.845572, -89.845436, -89.843134, -89.830268, -89.830485, -89.830699, -89.829514, -89.82893, -89.829088, -89.828132, -89.828439, -89.825487, -89.824851, -89.82472, -89.8247, -89.824261, -89.824181, -89.824111, -89.818502, -89.817947, 
-89.817558, -89.816151, -89.816156, -89.812444, -89.812492, -89.812512, -89.803084, -89.802657, -89.802704, -89.802704, -89.795349, -89.793188, -89.793064, -89.785283, -89.783856, -89.785495, -89.787285, -89.78663, -89.785768, -89.784349, -89.782077, -89.781856, -89.783357, -89.783902, -89.784037, -89.792724, -89.793569, -89.790914, -89.78968, -89.789629, -89.787878, -89.78731, -89.783876, -89.783866, -89.783677, -89.779403, -89.777986, -89.770588, -89.770664, -89.766272, -89.766311, -89.766401, 
-89.767992, -89.770054, -89.771685, -89.776134, -89.78304, -89.784001, -89.793224, -89.79374, -89.781256, -89.781754, -89.795908, -89.795951, -89.798502, -89.797783, -89.808012, -89.808408, -89.808951, -89.811439, -89.813221, -89.813373, -89.813646, -89.813516, -89.813455, -89.814483, -89.814244, -89.822252, -89.822261, -89.822247, -89.822251, -89.822251, -89.822987, -89.826655, -89.826772, -89.826702, -89.831026, -89.831105, -89.833761, -89.839675, -89.839781, -89.848458, -89.848654, -89.848578, 
-89.848453, -89.85412, -89.854486, -89.853373, -89.853164, -89.848409, -89.8483845951183, -89.848488, -89.8617990449356, -89.8713413963291, -89.8783097856676, -89.883365, -89.8837492149571, -89.883791, -89.893622, -89.8934494509247, -89.9014606040397, -89.9188788104591, -89.9190416387617, -89.9367527198004, -89.9367552259587, -89.95589828166, -89.9721955249383, -89.9899006914265, -89.9899073601442, -90.0022649511401, -90.0025384705316, -90.0081369595004, -90.0081547577036, -90.0250175719002, -90.0251617743491, 
-90.0313065886002, -90.0313767161821, -90.0430375562531, -90.0607843112688, -90.0607852975709, -90.0963407505633, -90.1269450025416, -90.1272089169496, -90.1274689045733, -90.1374515836101, -90.1376566086199, -90.136437, -90.135554, -90.146447, -90.148162, -90.149105, -90.149112, -90.159205, -90.167084, -90.169092, -90.171686, -90.174692, -90.184691, -90.184726, -90.186497, -90.186442, 35.015684, 35.015928, 35.021737, 35.028218, 35.03528, 35.035229, 35.042222, 35.050587, 35.052068, 35.055679, 35.055663015647, 
35.063842, 35.069736, 35.076064, 35.0772293574534, 35.079811, 35.084993, 35.094013, 35.112088, 35.117981488046, 35.118914, 35.1229551198273, 35.123585, 35.1238662782005, 35.130924, 35.132477, 35.133041, 35.128466, 35.119445, 35.117535, 35.118053, 35.1194504920356, 35.121326, 35.127263229478, 35.127403020113, 35.129228, 35.136844, 35.1383909063905, 35.139401, 35.1418429533924, 35.144634, 35.1488968761142, 35.153133, 35.158913, 35.170161, 35.176955, 35.18114, 35.191498, 35.199165, 35.2039, 35.20577, 
35.207569, 35.209544, 35.210761, 35.212171, 35.213865, 35.214563, 35.214364, 35.215963, 35.218226, 35.218141, 35.225848, 35.226444, 35.227551, 35.227388, 35.226806, 35.236291, 35.237675, 35.238456, 35.242544, 35.249229, 35.249328, 35.251798, 35.256985, 35.258741, 35.258337, 35.259684, 35.255518, 35.250359, 35.249178, 35.242505, 35.23985, 35.239411, 35.242853, 35.259699, 35.259817, 35.259297, 35.256585, 35.255345, 35.25414, 35.25613, 35.2559, 35.257699, 35.259953, 35.260419, 35.261022, 35.261422, 
35.261467, 35.26135, 35.260984, 35.260397, 35.259299, 35.258854, 35.258795, 35.259717, 35.260315, 35.260948, 35.261738, 35.2618, 35.261152, 35.257905, 35.257731, 35.257774, 35.257683, 35.257282, 35.256711, 35.255243, 35.254152, 35.252424, 35.252119, 35.252976, 35.252863, 35.254081, 35.254729, 35.25827, 35.258702, 35.26294, 35.263964, 35.262938, 35.263014, 35.260962, 35.259521, 35.257684, 35.257054, 35.249349, 35.249327, 35.247135, 35.247133, 35.243047, 35.24287, 35.242843, 35.242829, 35.24198, 35.241961, 
35.236878, 35.236688, 35.232702, 35.231624, 35.231675, 35.230271, 35.234698, 35.237166, 35.237996, 35.242514, 35.242773, 35.242511, 35.242202, 35.242201, 35.242413, 35.242367, 35.242317, 35.242239, 35.242098, 35.241508, 35.24139, 35.240085, 35.237345, 35.235129, 35.235071, 35.229434, 35.229385, 35.226491, 35.226387, 35.225527, 35.224326, 35.223299, 35.220846, 35.217216, 35.216161, 35.214267, 35.21322, 35.211485, 35.211566, 35.21074, 35.21076, 35.206264, 35.2057, 35.205127, 35.205026, 35.204868, 35.195673, 
35.195001, 35.193289, 35.192205, 35.188317, 35.188036, 35.187944, 35.187866, 35.187277, 35.187875, 35.190297, 35.192638, 35.192561, 35.192832, 35.192567, 35.192285, 35.191674, 35.193865, 35.199947, 35.203339, 35.205236, 35.205346, 35.204156, 35.203895, 35.20394, 35.204786, 35.204718, 35.204677, 35.205019, 35.20467, 35.204514, 35.204777, 35.204402, 35.204024, 35.204396, 35.204422, 35.204443, 35.204536, 35.204708, 35.204624, 35.204642, 35.205774, 35.206018, 35.205298, 35.205208, 35.205588, 35.206271, 
35.206522, 35.206274, 35.205223, 35.205064, 35.188936, 35.188642, 35.186643, 35.186178, 35.185127, 35.183169, 35.184384, 35.187567, 35.187102, 35.186469, 35.186434, 35.187878, 35.191119, 35.196756, 35.196695, 35.197185, 35.199122, 35.196517, 35.191462, 35.189508, 35.189151, 35.186733, 35.184283, 35.182943, 35.180418, 35.177377, 35.175842, 35.175787, 35.17324, 35.173262, 35.172968, 35.172969, 35.175034, 35.175114, 35.17295, 35.17408, 35.173076, 35.171817, 35.171626, 35.170557, 35.169287, 35.168446, 
35.16453, 35.163323, 35.162347, 35.160333, 35.159502, 35.158962, 35.157287, 35.159801, 35.159885, 35.156583, 35.156555, 35.153367, 35.153692, 35.152541, 35.149522, 35.149531, 35.142275, 35.140387, 35.140385, 35.138581, 35.13768, 35.133556, 35.129977, 35.128671, 35.127896, 35.127799, 35.127557, 35.127472, 35.127437, 35.12766, 35.124382, 35.124416, 35.114723, 35.109179, 35.109336, 35.107361, 35.107835, 35.107879, 35.10988, 35.111719, 35.113225, 35.116146, 35.116964, 35.11723, 35.116059, 35.118112, 
35.118618, 35.121013, 35.118607, 35.117378, 35.115777, 35.106177, 35.104847, 35.101425, 35.097856, 35.098236, 35.099319, 35.097179, 35.096558, 35.094708, 35.08759, 35.082841, 35.082804, 35.0828, 35.077691, 35.077671, 35.066736, 35.067195, 35.066842, 35.066799, 35.066738, 35.066382, 35.066392, 35.066481, 35.068148, 35.067977, 35.068087, 35.068124, 35.068036, 35.068094, 35.067075, 35.066599, 35.066501, 35.066494, 35.064176, 35.064124, 35.063456, 35.063766, 35.063786, 35.063552, 35.062929, 35.061707, 
35.060244, 35.059603, 35.058588, 35.059209, 35.059649, 35.056766, 35.054846, 35.054773, 35.054667, 35.056002, 35.054164, 35.053765, 35.052861, 35.050417, 35.050513, 35.053224, 35.053441, 35.052015, 35.051951, 35.051696, 35.050967, 35.050945, 35.049837, 35.049743, 35.047808, 35.04441, 35.044433, 35.044463, 35.046613, 35.047732, 35.047999, 35.048021, 35.048204, 35.039747, 35.034473, 35.033777, 35.039709, 35.044894, 35.045185, 35.047562, 35.048947, 35.045717, 35.045383, 35.04622, 35.046812, 35.044893, 
35.042037, 35.040549, 35.040036, 35.036984, 35.034963, 35.034798, 35.033407, 35.03242, 35.027956, 35.02774, 35.027681, 35.025949, 35.020388, 35.018902, 35.015746, 35.012945, 35.013546, 35.013536, 35.013137, 35.013048, 35.01345, 35.005821, 35.003786, 35.003779, 35.002271, 35.00221, 34.998268, 34.998302, 34.9941931940018, 34.994193, 34.9942189526638, 34.994237557472, 34.9942511438032, 34.994261, 34.9942646365867, 34.995868, 34.996045, 34.9943561530015, 34.9943819842833, 34.9944381478083, 34.9944386728343, 
34.9944957807087, 34.9944957887896, 34.9945575139445, 34.9946100630192, 34.9946671518225, 34.9946671733252, 34.9947070193263, 34.9947079012663, 34.9947259531178, 34.9947260105066, 34.9947803832167, 34.9947808481852, 34.9948006616161, 34.9948008877365, 34.9948384871235, 34.9948957100255, 34.9948957132058, 34.9950103587397, 34.995109039547, 34.9951098905166, 34.9951107288246, 34.995142917124, 34.9951435782097, 34.998944, 35.006068, 35.006014, 35.007062, 35.008742, 35.010533, 35.010902, 35.011736, 35.007652, 
35.006954, 35.009052, 35.008643, 35.011962, 35.013369, 35.015684), c(-89.837111, -89.837106, -89.819548, -89.817962, -89.813893, -89.813966, -89.811282, -89.811091, -89.808556, -89.808725, -89.806367, -89.806175, -89.804087, -89.802922, -89.806238, -89.806764, -89.808602, -89.812035, -89.811976, -89.810809, -89.812086, -89.812047, -89.813415, -89.81464, -89.814703, -89.814912, -89.812534, -89.813489, -89.815088, -89.832898, -89.836015, -89.836502, -89.836646, -89.836844, -89.837112, -89.837111, 35.156571, 
35.151606, 35.148099, 35.147969, 35.148293, 35.150681, 35.150576, 35.155171, 35.154947, 35.150476, 35.150342, 35.155844, 35.155471, 35.158861, 35.15942, 35.159656, 35.161223, 35.163035, 35.163116, 35.16616, 35.169083, 35.171364, 35.171797, 35.172051, 35.171806, 35.172115, 35.181985, 35.184168, 35.184245, 35.176339, 35.174338, 35.17351, 35.171418, 35.166383, 35.157917, 35.156571)))"
