ein,tax_year,nonprofit_name,total_revenue,total_expenses,government_grant_dollars,notes
EIN-13-3509867,2023,AMERICANS FOR PEACE NOW INC,1332159,1301213,-261890,Negative government grant value
EIN-46-4178872,2023,FAITH COMMUNITY DEVELOPMENT CORP,885893,1910366,-823,Negative government grant value
EIN-33-0038259,2023,SAN DIEGO PERFORMING ARTS LEAGUE,72945,139553,-750,Negative government grant value
EIN-46-2916938,2023,Montefiore Mount Vernon Hospital,61723291,93535039,-177305,Negative government grant value
EIN-26-2525968,2023,ADVOCATE CONDELL MEDICAL CENTER,591979880,522956538,-218887,Negative government grant value
EIN-94-2626454,2023,Berkeley Playhouse Inc,2790368,2686463,-7492,Negative government grant value
EIN-20-3293913,2023,THE QURAN INSTITUTE OF AMERICA,1929753,1947693,-900,Negative government grant value
EIN-87-1833578,2023,BRILLIANTMONT,394708,611183,-74083,Negative government grant value
EIN-20-8407010,2023,MHC ACADEMIC FOUNDATION,763302,283883,-24835,Negative government grant value
EIN-46-0337969,2023,WATERTOWN AREA SWIM CLUB,277249,286696,-14463,Negative government grant value
EIN-83-1283419,2023,Empower Community High School,2775158,148698,-39355,Negative government grant value
