ein,tax_year,nonprofit_name,total_revenue,total_expenses,government_grant_dollars,notes
EIN-58-2032904,2022,KENNESTONE HOSPITAL INC,1827952402,1374071696,-236277,Negative government grant value
EIN-41-2046295,2022,THE CITIZENS FOUNDATION USA,20690557,21554327,-1492,Negative government grant value
EIN-43-2087946,2022,HEALTHY TARRANT COUNTY COLLABORATION,432365,463792,-18484,Negative government grant value
EIN-20-5497506,2022,WEST GEORGIA MEDICAL CENTER INC,282086808,252246496,-72036,Negative government grant value
EIN-82-3793522,2022,ADOPTEEBRIDGE,112785,98624,-6000,Negative government grant value
EIN-52-1192134,2022,THE FERNDALE VOLUNTEER FIRE CO INC,210923,243628,-2706,Negative government grant value
EIN-58-2026750,2022,DOUGLAS HOSPITAL INC,233087451,200411891,-72036,Negative government grant value
EIN-14-1370253,2022,MONTGOMERY CO AGRICULTURAL SOCIETY,864757,702539,-31093,Negative government grant value
EIN-81-0864789,2022,WELLSTAR SPALDING REGIONAL HOSPITAL INC,164575967,171028562,-110935,Negative government grant value
EIN-26-4626264,2022,ST MARTIN HOSPITAL INC,47168290,40433043,-9863,Negative government grant value
EIN-27-1409160,2022,TOBY'S DREAM FOUNDATION INC,541583,274704,-36177,Negative government grant value
EIN-58-0968382,2022,COBB HOSPITAL INC,1032539801,793674723,-74917,Negative government grant value
EIN-68-0417507,2022,California Mobility Fund,450181,855370,-5919,Negative government grant value
EIN-82-3765508,2022,MARYAM PARMAN FOUNDATION,135776,342205,-149900,Negative government grant value
EIN-94-2804620,2022,League of Women Voters of San Francisco,28424,43896,-966,Negative government grant value
EIN-84-1117880,2022,White Bison Inc,1062010,837554,-20348,Negative government grant value
EIN-81-0851756,2022,WELLSTAR NORTH FULTON HOSPITAL,330353913,287116184,-77799,Negative government grant value
EIN-20-0393297,2022,Acts Of Mercy Foundation,585173,881846,-81,Negative government grant value
EIN-26-3246915,2022,CATHOLIC MISSION TRIPS INC,356436,337819,-12783,Negative government grant value
