Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.19%,"25,883","$3,484,473,643",4.97%,-29.73%
$10M or more,76.03%,"14,297","$236,659,074,007",1.85%,-13.24%
$1M to $4.9M,79.68%,"26,582","$26,161,160,902",3.14%,-27.62%
$500K to $999K,80.42%,"14,721","$4,823,307,175",3.05%,-29.11%
$5M to $9.9M,80.45%,"7,510","$22,528,301,896",2.55%,-27.29%
Less than $100K,63.55%,"4,121","$438,854,590",24.53%,-16.61%
Total,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
