Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,71.89%,217,"$26,132,178",5.68%,-24.24%
$10M or more,67.01%,97,"$625,700,877",2.26%,-7.12%
$1M to $4.9M,80.10%,196,"$155,794,603",1.38%,-24.79%
$500K to $999K,74.04%,104,"$24,431,825",3.74%,-14.61%
$5M to $9.9M,83.33%,60,"$134,439,475",0.93%,-20.01%
Less than $100K,42.86%,49,"$3,666,371",43.61%,8.51%
Total,72.75%,723,"$970,165,329",2.77%,-17.71%
