Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.42%,256,"$48,926,100",4.22%,-37.46%
$10M or more,76.79%,112,"$458,586,053",1.47%,-9.85%
$1M to $4.9M,84.57%,188,"$186,791,428",0.21%,-35.70%
$500K to $999K,77.95%,127,"$39,135,833",2.26%,-21.31%
$5M to $9.9M,88.06%,67,"$166,944,750",1.68%,-17.12%
Less than $100K,53.33%,45,"$2,959,226",30.70%,-9.80%
Total,80.25%,795,"$903,343,390",2.24%,-24.98%
