Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.33%,992,"$135,074,464",4.20%,-30.70%
$10M or more,76.42%,509,"$11,145,729,747",0.80%,-24.61%
$1M to $4.9M,81.04%,981,"$964,879,973",1.05%,-30.29%
$500K to $999K,82.63%,593,"$182,158,890",2.45%,-30.04%
$5M to $9.9M,82.27%,282,"$851,892,977",2.21%,-31.38%
Less than $100K,64.09%,181,"$12,639,413",28.58%,-12.53%
Total,79.40%,"3,538","$13,292,375,464",2.48%,-29.22%
