Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Arizona,79.03%,"1,092","$3,796,241,941",3.18%,-26.34%
Apache County,72.73%,11,"$101,661,007",10.12%,-71.41%
Cochise County,70.83%,24,"$41,639,071",4.88%,-12.87%
Coconino County,85.45%,55,"$176,772,119",1.20%,-20.56%
Gila County,71.43%,14,"$4,491,475",0.58%,-31.73%
Graham County,83.33%,12,"$10,104,599",6.07%,-49.12%
La Paz County,66.67%,3,"$704,116",3.79%,-22.77%
Maricopa County,77.89%,588,"$2,423,480,339",2.91%,-23.85%
Mohave County,80.00%,20,"$40,037,636",15.72%,-66.78%
Navajo County,71.43%,21,"$87,830,066",5.27%,-30.49%
Pima County,81.73%,208,"$707,150,931",1.87%,-31.27%
Pinal County,88.46%,26,"$71,797,867",3.56%,-31.75%
Santa Cruz County,88.24%,17,"$11,824,737",1.99%,-28.09%
Yavapai County,77.94%,68,"$54,738,511",2.24%,-28.60%
Yuma County,76.00%,25,"$64,009,467",7.26%,-30.74%
