Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Pennsylvania,76.70%,"4,752","$8,115,869,517",2.97%,-22.09%
Adams County,56.41%,39,"$29,179,121",9.45%,-11.69%
Allegheny County,80.63%,604,"$870,682,314",1.49%,-31.67%
Armstrong County,59.26%,27,"$8,102,658",10.17%,-2.73%
Beaver County,82.98%,47,"$30,896,004",1.22%,-26.59%
Bedford County,75.00%,28,"$38,083,481",3.23%,-29.53%
Berks County,77.19%,114,"$79,626,619",2.99%,-31.35%
Blair County,81.97%,61,"$108,771,210",4.39%,-34.08%
Bradford County,61.29%,31,"$10,713,602",11.05%,-1.57%
Bucks County,79.35%,155,"$161,948,530",5.57%,-18.93%
Butler County,71.93%,57,"$54,594,903",5.11%,-26.79%
Cambria County,83.75%,80,"$242,546,509",1.87%,-31.11%
Cameron County,50.00%,2,"$2,183,977",6.43%,-4.64%
Carbon County,75.00%,24,"$4,149,942",5.93%,-24.92%
Centre County,83.05%,59,"$25,220,875",3.61%,-17.42%
Chester County,76.33%,169,"$110,462,522",3.99%,-21.38%
Clarion County,76.00%,25,"$8,826,333",2.82%,-35.04%
Clearfield County,72.50%,40,"$24,538,054",6.36%,-10.24%
Clinton County,82.61%,23,"$6,459,996",0.48%,-31.42%
Columbia County,67.86%,28,"$9,994,931",5.77%,-11.68%
Crawford County,85.00%,40,"$47,547,828",4.59%,-28.17%
Cumberland County,72.73%,99,"$92,665,694",4.85%,-18.71%
Dauphin County,77.93%,145,"$710,672,430",3.09%,-25.68%
Delaware County,72.22%,144,"$158,620,236",3.94%,-20.47%
Elk County,70.83%,24,"$13,715,234",3.67%,-17.99%
Erie County,86.05%,129,"$124,281,189",0.32%,-43.20%
Fayette County,74.42%,43,"$20,294,023",1.76%,-34.17%
Forest County,50.00%,2,"$45,871",29.99%,18.01%
Franklin County,76.19%,63,"$35,517,513",5.35%,-19.39%
Fulton County,83.33%,6,"$3,428,641",1.24%,-23.18%
Greene County,85.71%,14,"$14,217,411",-14.04%,-49.85%
Huntingdon County,81.48%,27,"$16,762,670",7.76%,-21.46%
Indiana County,80.65%,31,"$25,786,885",1.19%,-40.04%
Jefferson County,56.00%,25,"$17,435,429",5.49%,-2.35%
Juniata County,57.14%,14,"$804,653",12.57%,-6.06%
Lackawanna County,71.91%,89,"$333,046,117",2.74%,-15.85%
Lancaster County,72.02%,168,"$65,830,790",3.91%,-14.46%
Lawrence County,87.88%,33,"$560,523,560",0.80%,-67.11%
Lebanon County,77.36%,53,"$16,193,488",2.11%,-23.35%
Lehigh County,75.61%,123,"$332,851,267",0.50%,-22.89%
Luzerne County,73.96%,96,"$127,353,258",2.75%,-19.95%
Lycoming County,85.11%,47,"$52,828,672",0.89%,-35.08%
McKean County,84.21%,19,"$12,293,861",-1.38%,-54.36%
Mercer County,74.55%,55,"$76,454,940",3.75%,-25.34%
Mifflin County,76.92%,26,"$10,214,120",9.10%,-20.98%
Monroe County,83.33%,48,"$36,379,100",-0.63%,-47.65%
Montgomery County,78.76%,259,"$275,254,028",2.50%,-20.70%
Montour County,54.55%,22,"$99,066,573",7.73%,-2.06%
Northampton County,79.75%,79,"$102,160,534",0.03%,-26.26%
Northumberland County,76.00%,25,"$14,673,482",3.94%,-13.34%
Perry County,70.83%,24,"$2,326,015",11.33%,-15.77%
Philadelphia County,80.18%,550,"$2,389,082,077",2.80%,-23.36%
Pike County,87.50%,16,"$4,595,623",7.05%,-41.49%
Potter County,83.33%,12,"$1,903,053",0.64%,-26.55%
Schuylkill County,63.64%,55,"$23,929,633",5.19%,-13.34%
Snyder County,81.82%,11,"$4,581,466",-4.88%,-6.95%
Somerset County,70.27%,37,"$51,012,280",4.24%,-17.54%
Sullivan County,28.57%,7,"$857,378",30.51%,5.90%
Susquehanna County,68.42%,19,"$4,729,620",-0.81%,-12.49%
Tioga County,73.53%,34,"$16,507,609",-0.60%,-24.93%
Union County,77.27%,22,"$33,574,144",1.28%,-23.14%
Venango County,63.16%,19,"$3,366,509",4.52%,-5.25%
Warren County,78.26%,23,"$11,153,210",7.96%,-18.98%
Washington County,75.00%,64,"$53,073,459",3.54%,-27.09%
Wayne County,59.38%,32,"$7,192,880",12.95%,-2.96%
Westmoreland County,72.07%,111,"$92,159,274",2.81%,-18.65%
Wyoming County,54.55%,22,"$5,165,605",12.77%,-5.59%
York County,74.44%,133,"$186,758,604",3.31%,-17.09%
