Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.96%,776,"$107,662,126",2.85%,-32.05%
$10M or more,77.07%,484,"$10,557,810,298",2.16%,-27.78%
$1M to $4.9M,82.39%,"1,079","$1,039,503,016",2.36%,-27.96%
$500K to $999K,85.47%,523,"$166,298,996",0.00%,-32.74%
$5M to $9.9M,82.24%,304,"$997,260,075",1.44%,-38.98%
Less than $100K,74.10%,139,"$13,663,488",16.31%,-26.80%
Total,81.63%,"3,305","$12,882,197,999",2.14%,-30.99%
