Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.92%,48,"$10,758,793",2.94%,-22.90%
Education,85.51%,69,"$241,581,863",2.02%,-46.97%
Environment and animals,66.67%,15,"$12,579,218",3.34%,-21.22%
Health,76.36%,55,"$112,228,805",5.44%,-21.05%
Hospitals,83.33%,6,"$8,564,538",5.43%,-13.46%
Human services,84.43%,289,"$234,458,418",2.81%,-49.86%
"International, foreign affairs",100.00%,5,"$9,419,867",11.04%,-8.29%
"Public, societal benefit",81.82%,55,"$46,459,127",10.09%,-33.06%
Religion-related,66.67%,12,"$26,411,303",2.95%,-19.51%
Unclassified,83.62%,177,"$435,673,126",3.22%,-38.91%
Universities,71.43%,7,"$12,484,823",1.11%,-6.99%
Total,82.11%,738,"$1,150,619,881",3.57%,-37.94%
