Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.51%,49,"$19,838,313",8.39%,-22.84%
Education,86.15%,65,"$197,229,826",0.63%,-68.06%
Environment and animals,65.22%,23,"$306,476,759",6.26%,-6.07%
Health,90.00%,30,"$62,182,380",3.85%,-37.19%
Hospitals,25.00%,4,"$526,599",11.40%,10.71%
Human services,84.07%,182,"$163,994,094",11.21%,-42.35%
"International, foreign affairs",75.00%,4,"$2,524,992",4.08%,-12.99%
"Public, societal benefit",81.58%,38,"$39,726,424",5.52%,-29.47%
Religion-related,60.00%,5,"$748,823",7.79%,-4.68%
Unclassified,90.70%,86,"$164,290,757",6.97%,-39.88%
Universities,50.00%,2,"$199,180,779",9.18%,-0.47%
Total,82.99%,488,"$1,156,719,746",6.77%,-37.72%
