Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Utah,80.66%,610,"$1,445,408,010",5.07%,-33.43%
Box Elder County,87.50%,8,"$8,824,998",-1.25%,-54.67%
Cache County,76.67%,30,"$60,507,583",4.60%,-20.82%
Carbon County,83.33%,6,"$22,952,383",10.56%,-67.34%
Davis County,85.71%,35,"$101,113,224",3.59%,-33.34%
Duchesne County,100.00%,1,"$292,503",11.67%,-74.41%
Emery County,100.00%,2,"$1,711,247",30.53%,-24.10%
Grand County,80.00%,15,"$4,536,945",-3.66%,-18.42%
Iron County,100.00%,8,"$13,711,151",5.68%,-77.62%
Juab County,0.00%,1,"$30,000",11.99%,11.95%
Kane County,100.00%,2,"$309,953",-14.58%,-27.39%
Millard County,0.00%,1,"$31,600",36.96%,29.86%
Salt Lake County,82.35%,289,"$732,698,916",3.30%,-36.86%
San Juan County,57.14%,7,"$31,501,150",6.03%,-36.49%
Sanpete County,66.67%,3,"$684,434",-2.18%,-7.26%
Sevier County,80.00%,5,"$4,142,131",-1.90%,-24.92%
Summit County,70.59%,34,"$21,249,560",4.86%,-13.39%
Tooele County,60.00%,5,"$17,040,554",8.36%,-3.15%
Uintah County,50.00%,2,"$7,305,449",15.90%,-37.29%
Utah County,83.56%,73,"$217,347,275",9.69%,-37.59%
Wasatch County,80.00%,5,"$4,359,761",5.12%,-39.86%
Washington County,79.31%,29,"$73,881,059",9.10%,-37.27%
Wayne County,66.67%,3,"$2,826,256",9.25%,-6.05%
Weber County,78.26%,46,"$118,349,878",7.25%,-38.69%
