Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.25%,"1,739","$222,788,833",6.79%,-27.77%
$10M or more,71.45%,585,"$5,935,295,424",1.67%,-7.13%
$1M to $4.9M,80.89%,"1,125","$932,335,644",1.35%,-27.37%
$500K to $999K,82.81%,698,"$205,901,946",1.55%,-29.44%
$5M to $9.9M,80.74%,296,"$801,697,726",1.39%,-23.08%
Less than $100K,56.31%,309,"$17,849,944",29.44%,-7.91%
Total,76.70%,"4,752","$8,115,869,517",2.97%,-22.09%
