Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Colorado,77.40%,"2,111","$2,881,320,716",3.52%,-21.40%
1st Congressional district,84.04%,545,"$1,084,704,059",0.07%,-36.79%
2nd Congressional district,77.14%,398,"$619,073,579",2.83%,-17.00%
3rd Congressional district,72.35%,463,"$360,849,482",6.09%,-16.76%
4th Congressional district,76.43%,140,"$57,895,187",6.29%,-18.56%
5th Congressional district,70.80%,137,"$210,555,539",3.76%,-14.19%
6th Congressional district,74.26%,136,"$224,706,478",3.75%,-21.04%
7th Congressional district,79.59%,196,"$177,236,797",2.70%,-23.02%
8th Congressional district,76.04%,96,"$146,299,595",3.63%,-19.05%
