Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.72%,235,"$165,798,588",-0.09%,-19.19%
Education,84.19%,253,"$838,781,914",2.06%,-66.03%
Environment and animals,71.01%,69,"$165,714,590",4.59%,-17.55%
Health,75.60%,168,"$210,318,589",2.17%,-12.02%
Hospitals,42.42%,33,"$468,435,730",2.59%,0.94%
Human services,76.30%,789,"$662,953,610",2.24%,-22.03%
"International, foreign affairs",86.67%,15,"$60,748,130",-2.49%,-32.55%
Mutual/membership benefit,45.45%,11,"$1,100,343",31.92%,14.64%
"Public, societal benefit",82.58%,178,"$399,858,547",3.54%,-34.63%
Religion-related,58.33%,24,"$24,234,541",9.33%,-3.81%
Unclassified,79.11%,426,"$793,888,084",1.20%,-24.26%
Universities,56.00%,25,"$77,640,728",3.34%,-1.26%
Total,77.27%,"2,226","$3,869,473,394",1.95%,-23.18%
