Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",80.87%,115,"$48,651,818",2.79%,-22.34%
Education,84.96%,133,"$490,529,041",2.27%,-77.11%
Environment and animals,75.44%,57,"$45,418,575",7.37%,-16.37%
Health,84.68%,111,"$199,083,901",4.41%,-26.70%
Hospitals,60.00%,15,"$31,892,678",0.29%,-8.80%
Human services,79.39%,359,"$267,261,136",3.41%,-34.15%
"International, foreign affairs",66.67%,3,"$448,075",1.02%,-1.00%
Mutual/membership benefit,100.00%,2,"$581,360",10.85%,-40.25%
"Public, societal benefit",84.40%,109,"$131,552,553",3.11%,-40.33%
Religion-related,92.31%,13,"$6,193,145",10.78%,-46.90%
Unclassified,80.92%,173,"$326,656,737",3.69%,-22.36%
Universities,71.43%,7,"$9,559,728",-2.88%,-3.44%
Total,81.13%,"1,097","$1,557,828,747",3.41%,-29.22%
