Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.65%,"81,354","$240,737,818,717",2.83%,-26.80%
Vermont,73.69%,612,"$560,661,557",4.08%,-19.79%
Addison County,65.71%,35,"$18,998,751",6.39%,-10.80%
Bennington County,72.09%,43,"$19,495,326",3.95%,-19.82%
Caledonia County,64.86%,37,"$34,536,913",10.58%,-7.56%
Chittenden County,76.56%,128,"$170,601,272",3.91%,-20.65%
Franklin County,65.00%,20,"$21,567,190",8.16%,-8.49%
Grand Isle County,66.67%,6,"$1,161,530",22.37%,-37.69%
Lamoille County,68.00%,25,"$12,553,179",7.17%,-20.15%
Orange County,85.71%,28,"$13,254,729",-2.55%,-28.56%
Orleans County,64.52%,31,"$23,578,358",6.52%,-6.11%
Rutland County,81.08%,37,"$40,342,627",1.31%,-37.75%
Washington County,78.57%,98,"$144,835,563",3.46%,-29.53%
Windham County,66.67%,60,"$31,197,606",10.85%,-10.74%
Windsor County,78.12%,64,"$28,538,513",-0.49%,-20.94%
