Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.37%,189,"$24,138,939",4.33%,-28.44%
$10M or more,77.08%,48,"$518,256,412",4.57%,-15.82%
$1M to $4.9M,81.91%,199,"$213,073,530",2.39%,-33.65%
$500K to $999K,79.82%,109,"$31,669,223",2.33%,-38.98%
$5M to $9.9M,75.00%,28,"$82,805,714",6.31%,-12.39%
Less than $100K,75.00%,20,"$758,253",5.49%,-24.91%
Total,79.76%,593,"$870,702,071",3.61%,-29.95%
