Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.77%,104,"$17,855,309",5.33%,-31.51%
$10M or more,86.21%,58,"$903,653,421",1.48%,-36.49%
$1M to $4.9M,82.44%,131,"$218,314,551",3.33%,-47.31%
$500K to $999K,83.33%,48,"$19,224,802",6.05%,-39.18%
$5M to $9.9M,75.68%,37,"$156,675,056",4.55%,-47.55%
Less than $100K,54.55%,11,"$1,871,688",14.43%,-7.19%
Total,81.23%,389,"$1,317,594,827",4.03%,-37.52%
