Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.37%,"1,003","$817,227,782",1.28%,-17.75%
Education,83.75%,880,"$6,968,952,173",3.23%,-56.80%
Environment and animals,69.50%,423,"$836,364,847",5.02%,-21.23%
Health,78.92%,555,"$3,987,825,066",3.93%,-27.38%
Hospitals,56.82%,44,"$437,816,671",2.45%,-1.43%
Human services,84.54%,"2,322","$14,220,187,749",1.95%,-46.73%
"International, foreign affairs",77.78%,72,"$156,407,259",-0.04%,-16.34%
Mutual/membership benefit,50.00%,2,"$1,093,545",11.95%,-39.64%
"Public, societal benefit",80.55%,658,"$1,418,203,357",3.13%,-31.78%
Religion-related,75.00%,120,"$276,740,200",3.07%,-28.13%
Unclassified,81.15%,"1,395","$7,792,905,621",2.54%,-34.65%
Universities,55.17%,58,"$2,151,793,633",1.75%,-1.86%
Total,80.38%,"7,532","$39,065,517,903",2.51%,-33.20%
